Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0883392159517244	0.0155797499248994	0.00842764266795088
mcaja_ahorro	0.0649532841865231	0.0111042271562304	0.014477486154587
ctrx_quarter	0.0510300514948267	0.0107111622525622	0.0093607031061883
mtarjeta_visa_consumo	0.047260057020885	0.00748247736878799	0.00707320009631592
mdescubierto_preacordado	0.0400499695053393	0.00111745569896732	0.000993257885865639
foto_mes	0.0295054317530103	0.0295563747543398	0.00924030821093186
ctarjeta_visa_trx	0.0287037308347824	0.0139281383456453	0.0119190946303877
cproductos_tend6	0.0284996951295712	0.00903562274126899	0.00340115579099446
mpayroll	0.0240260284908622	0.014997455926371	0.00493619070551409
mpasivos_margen	0.0224686487061897	0.0106964508825764	0.00915001203948952
mcaja_ahorro_lag1	0.0208356213624189	0.00658664680953087	0.0104442571634963
mv_status07_tend6	0.0204269950490527	0.00245702859179152	0.00102335660967975
mcuentas_saldo	0.0191239664057626	0.0171447502161994	0.0157115338309656
mv_msaldopesos	0.0165820427650281	0.0051178290765821	0.00641102817240549
mcaja_ahorro_avg6	0.0151099710347173	0.00630936149032041	0.0096616903443294
mpayroll_sobre_edad	0.0147197734251554	0.0152530006003441	0.00511678304839875
mprestamos_personales_tend6	0.0128461698488243	0.0114797796161834	0.00246809535275704
mcuenta_corriente	0.0126848705775411	0.0056387268176971	0.00857813628702143
cpayroll_trx	0.0122717640627185	0.011514742783386	0.00219720683843005
mprestamos_personales	0.0119480352797729	0.0134784525737165	0.00346135323862268
mdescubierto_preacordado_tend6	0.011197893113551	0.00688395900085996	0.00156513363833373
mes	0.011068605612935	0.00725768546909859	0.00857813628702143
ccomisiones_mantenimiento_tend6	0.0109912964986129	0.00659614952900314	0.00328076089573802
mv_msaldototal	0.00926155700009862	0.0053001433103677	0.00683241030580303
mdescubierto_preacordado_delta1	0.00860212563911139	0.00697178639685637	0.000902961714423308
mprestamos_personales_lag1	0.00764210289703269	0.00701712124578738	0.00316036600048158
Master_status	0.00718317878133162	0.00418189573844048	0.00177582470503251
mcuentas_saldo_lag1	0.00626260920944668	0.00691069483732554	0.0130026486876956
mrentabilidad_annual	0.00598052048953203	0.00345272833422116	0.00716349626775825
mv_mpagominimo	0.00577971526790086	0.00906040133905395	0.007915964363111
mprestamos_personales_delta1	0.00573895235837044	0.0112617110740956	0.00285937876234048
mpasivos_margen_avg6	0.00558271006746326	0.00314748399585228	0.00650132434384782
ccomisiones_mantenimiento_avg6	0.00542433493813244	0.00945105573849637	0.00541777028653985
cpayroll_trx_lag1	0.0052612152116482	0.00282989902730795	0.00105345533349386
mtarjeta_visa_consumo_tend6	0.00493616058295801	0.00385645254075742	0.00773537202022634
mcuentas_saldo_tend6	0.00493112338908928	0.00566794683233603	0.00872862990609198
mcaja_ahorro_dolares_delta1	0.00460023585932742	0.0116737804408944	0.00586925114375151
mactivos_margen	0.00444674595515618	0.0073364451146577	0.00863833373464965
cliente_edad_lag1	0.00421813227718339	0.0120520371250497	0.0148386708403564
cproductos_delta1	0.00416899048657351	0.00456479778454965	0.00144473874307729
mv_status06_tend6	0.00398815980137954	0.00302408794014348	0.00135444257163496
mes_lag1	0.00396492610419128	0.0041881553404978	0.00475559836262942
mrentabilidad_avg6	0.00382836152892581	0.00383955095652828	0.00680231158198892
mcuenta_corriente_avg6	0.00382600042294847	0.00727193186377273	0.00908981459186131
Visa_mpagominimo	0.00373026759010223	0.0101088640695877	0.0112870214302914
Visa_msaldopesos	0.00371293426326209	0.00641346326617754	0.00809655670599567
mtransferencias_recibidas	0.00368147542483175	0.00570928279600559	0.0049662894293282
Master_mfinanciacion_limite	0.00359455296029507	0.00632569319924631	0.00948109800144474
cliente_edad_avg6	0.00350681850797343	0.0110203005762009	0.0117686010113171
mcuenta_corriente_tend6	0.00344402067456151	0.00515112189438354	0.00767517457259812
mactivos_margen_lag1	0.00343132398338153	0.00511204591564945	0.00975198651577173
tcallcenter_tend6	0.00340321026353222	0.00606445147991503	0.00282928003852637
mpayroll_avg6	0.0033528674359154	0.0103229112826949	0.00794606308692512
ctrx_quarter_tend6	0.00333782903119983	0.00305630907035625	0.00544786901035396
mv_fechaalta_avg6	0.0032931099695383	0.00422714935086636	0.00884902480134842
mcomisiones_mantenimiento_tend6	0.00321316002858811	0.0064910326627621	0.00454490729593065
mv_fechaalta_tend6	0.00320108210398413	0.00242508459271937	0.00340115579099446
mactivos_margen_tend6	0.00315828010942236	0.00434391377547783	0.00722369371538647
mvr_mpagominimo_avg6	0.00313742337195988	0.00726640851328441	0.00743438478208524
cliente_edad	0.00309299582226725	0.00729825834631758	0.0101733686491693
cprestamos_personales_avg6	0.00307426839013643	0.008542393470731	0.00261858897182759
mrentabilidad_annual_delta1	0.00305844976306813	0.00678077253841797	0.0087888273537202
mrentabilidad	0.00304639759617818	0.00410647703563732	0.00794606308692512
ctrx_quarter_delta1	0.00296739232277629	0.00733836258892289	0.00863833373464965
Visa_mfinanciacion_limite	0.00294679729108687	0.00729131445478012	0.00782566819166867
Master_fechaalta	0.00285188678929199	0.00721112841328862	0.0111666265350349
cproductos	0.00282422577231567	0.00709419151357468	0.00529737539128341
Visa_Finiciomora	0.00281703466585407	0.00909757960375384	0.00150493619070551
Visa_fechaalta	0.00278069022106274	0.00474642333769267	0.0103539609920539
mv_cconsumos_tend6	0.0027776865574729	0.00382275793159278	0.00632073200096316
mv_fultimo_cierre_avg6	0.00277135098817985	0.00461044928508324	0.00815675415362389
mcuentas_saldo_delta1	0.00266412136683961	0.00822851488723897	0.00719359499157236
ccomisiones_otras_avg6	0.00265429802588981	0.00691054846524423	0.00776547074404045
ccaja_ahorro	0.00265299665977626	0.00785303976053559	0.00171562725740429
mcomisiones_lag1	0.00264887134099982	0.00392379760350885	0.00866843245846376
Master_Fvencimiento_avg6	0.00264488416224768	0.00350191716005312	0.00719359499157236
mcuenta_corriente_delta1	0.00262240014483873	0.00407399292358513	0.00484589453407176
mv_Finiciomora_avg6	0.00259797500613643	0.00251154340975551	0.000812665542980978
Visa_fechaalta_avg6	0.0025779155775848	0.00441850718369585	0.00972188779195762
mtarjeta_visa_debitos_automaticos_tend6	0.00255320615025755	0.00725100358358668	0.00550806645798218
mactivos_margen_avg6	0.00252935035987729	0.00530573082061833	0.00863833373464965
ccaja_ahorro_tend6	0.0025067946081438	0.010939984751464	0.00105345533349386
mcomisiones_mantenimiento	0.00250434110533541	0.00718826119093212	0.00415362388634722
mcuenta_corriente_lag1	0.00250309168739603	0.00329345648138269	0.00580905369612329
mcomisiones_tend6	0.00248628284290138	0.00540531701776697	0.00812665542980978
mcaja_ahorro_delta1	0.00247886515770711	0.00853762100901981	0.00677221285817481
ccallcenter_trx	0.00245104775391092	0.00828640699702577	0.00219720683843005
Master_fechaalta_lag1	0.00244763512330879	0.00555770962673722	0.00984228268721406
mtransferencias_emitidas_avg6	0.00237657506637293	0.00581909088745268	0.00692270647724537
mcomisiones_avg6	0.00237372016857165	0.00530564665667157	0.00713339754394414
mrentabilidad_annual_tend6	0.00236378545364302	0.00541143903006786	0.00767517457259812
mv_fechaalta	0.00234465089792177	0.00363577247678556	0.00638092944859138
Master_fultimo_cierre_avg6	0.00233819294825994	0.00453914095427681	0.00719359499157236
chomebanking_trx_delta1	0.00229198030031947	0.00709810965023794	0.00671201541054659
cproductos_avg6	0.00228986877863294	0.00660832549058711	0.00752468095352757
ccaja_ahorro_avg6	0.00223821630744317	0.00536448335428978	0.00228750300987238
mtransferencias_recibidas_avg6	0.00223496719455901	0.00436042479020334	0.008186852877438
cliente_antiguedad	0.00221100214020821	0.00467724447671587	0.008186852877438
Master_Fvencimiento	0.00220247817879767	0.00302559654839488	0.00857813628702143
mcomisiones_mantenimiento_avg6	0.00219000737645072	0.00679904148184004	0.00598964603900795
numero_de_cliente	0.00218385550794258	0.00452535758328655	0.00776547074404045
mpagomiscuentas	0.00218219682612132	0.00689028129895878	0.00430411750541777
thomebanking	0.00217681930623575	0.00304892533071445	0.00162533108596196
ctarjeta_visa_trx_tend6	0.00215545980246764	0.00394937075774188	0.00574885624849506
mcaja_ahorro_dolares_avg6	0.00215371225989214	0.0040580437336984	0.00635083072477727
Visa_Fvencimiento_avg6	0.00215254461297795	0.00293888963068091	0.00677221285817481
mpasivos_margen_tend6	0.00214557872442358	0.00328397010679284	0.00604984348663617
Visa_fechaalta_tend6	0.00212528638433639	0.00528685028584984	0.00508668432458464
mcuenta_debitos_automaticos	0.00211295054914641	0.00765003973631198	0.00415362388634722
mvr_msaldototal_avg6	0.00211023564041325	0.00479309017256363	0.00758487840115579
ctransferencias_emitidas_avg6	0.00208348620149107	0.00464884438968576	0.00704310137250181
Visa_mpagospesos_tend6	0.0020771851411513	0.00301094982607835	0.00695280520105948
ctrx_quarter_normalizado_delta1	0.00206312825177627	0.00444984081118892	0.00650132434384782
mv_mpagominimo_avg6	0.00203290399735683	0.00547022035024864	0.00623043582952083
mvr_msaldopesos2	0.00201176337389626	0.0048237173108109	0.0070130026486877
Master_mpagospesos_tend6	0.00200113568799659	0.00946408285373317	0.00638092944859138
ccomisiones_mantenimiento_delta1	0.00195747338142507	0.00394725275372529	0.00108355405730797
Visa_cconsumos_tend6	0.00194001133280412	0.00331464920712898	0.00626053455333494
mrentabilidad_delta1	0.00193203929979152	0.00445904566347572	0.00656152179147604
mcuentas_saldo_avg6	0.00192271521770093	0.00383909476354152	0.00764507584878401
Master_fultimo_cierre_tend6	0.0019120566679031	0.00747457205662977	0.00607994221045028
mrentabilidad_annual_lag1	0.00188724104196389	0.00317418372720447	0.0067421141343607
ccallcenter_trx_tend6	0.00185770802981107	0.00616485174978924	0.00361184685769323
chomebanking_trx	0.00185634049145622	0.00413056597696584	0.00508668432458464
mcaja_ahorro_dolares_tend6	0.00182396310099491	0.00412857848805509	0.00562846135323862
cmobile_app_trx_avg6	0.00178513732886283	0.00315307223796331	0.00623043582952083
mvr_mpagominimo	0.0017706993137294	0.00617129992787799	0.00647122562003371
thomebanking_avg6	0.0017704338154319	0.00176967139678521	0.00349145196243679
Visa_cconsumos_avg6	0.00176609212257719	0.00427649406296493	0.00629063327714905
ctransferencias_recibidas_avg6	0.00175469754003871	0.00393598698253361	0.00686250902961714
mv_fultimo_cierre	0.00174325203756861	0.00304365374020598	0.00562846135323862
ctrx_quarter_normalizado_tend6	0.00173625761734855	0.00419713087652388	0.00586925114375151
mrentabilidad_tend6	0.00171766900930646	0.00282959847663432	0.0058391524199374
Visa_mconsumospesos_avg6	0.00171572447620686	0.00320352327904314	0.00704310137250181
mv_Fvencimiento_avg6	0.00170749462774606	0.00281584901517624	0.00653142306766193
mactivos_margen_delta1	0.00169613935551722	0.00329275877446177	0.00626053455333494
mes_tend6	0.00169601112957247	0.00551410416394691	0.00394293281964845
chomebanking_trx_avg6	0.0016895282259903	0.00263399170623781	0.00484589453407176
chomebanking_trx_tend6	0.00164921451466156	0.00325499819283174	0.00544786901035396
internet_avg6	0.00163271918767335	0.00180112529333843	0.00237779918131471
ccajas_trx_avg6	0.00159687578508343	0.00684174748819068	0.00505658560077053
Master_fechaalta_tend6	0.00155539556481347	0.00253767570533915	0.0049662894293282
mtarjeta_visa_debitos_automaticos_avg6	0.0015538162144911	0.00261412120829271	0.00604984348663617
mvr_msaldopesos2_avg6	0.00151884817317253	0.00248658794570562	0.00574885624849506
ccaja_seguridad	0.00150753596521501	0.00846944406493959	0.00102335660967975
ccomisiones_otras_tend6	0.00148003039461842	0.00289630316153001	0.00502648687695642
