Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0849939713206141	0.0153032061696542	0.0102522716403635
mcaja_ahorro	0.0602894431353099	0.0128630635275845	0.0164693926351028
ctarjeta_visa_trx	0.048032735748278	0.013822170189088	0.0144368723098996
foto_mes	0.0477246862850054	0.0300529354484832	0.0113880918220947
ctrx_quarter	0.0466618466600102	0.0119656956337465	0.0121951219512195
mtarjeta_visa_consumo	0.0400531476299701	0.00844938827269448	0.0102821616451459
mpayroll	0.0229201908813322	0.0129109571735271	0.00543998087039694
mpasivos_margen	0.0222355679315872	0.0118101668460159	0.0112984218077475
mcaja_ahorro_avg6	0.0201140776167855	0.00572191961263244	0.00995337159253945
mcaja_ahorro_lag1	0.0188866876185798	0.00839882227466637	0.0121652319464371
mpayroll_sobre_edad	0.017713686252143	0.016250409999505	0.00538020086083214
mcuentas_saldo	0.0154122861817779	0.0123361645755039	0.0138988522238164
mes_lag1	0.01479541928954	0.00934725124133073	0.00651602104256337
cproductos_tend6	0.0132235542972844	0.00595154849966315	0.00274988043998087
mdescubierto_preacordado	0.0114975296394451	0.000718322694615774	0.000597800095648015
cpayroll_trx	0.0113855262532974	0.0098764995874803	0.00251076040172166
mes	0.0101721892052851	0.0145172630944637	0.007831181252989
mprestamos_personales_tend6	0.0097709878388577	0.00714656870123691	0.00245098039215686
mcuentas_saldo_lag1	0.00921976859412666	0.00870839271332418	0.0142874222859876
mv_status07_tend6	0.00903250981072522	0.00351450754542878	0.00107604017216643
mprestamos_personales	0.00875443750837865	0.0117421811953825	0.00289933046389287
mv_msaldototal	0.00810215259128164	0.00626437003308469	0.00884744141559063
mcuenta_corriente_delta1	0.00701671339700097	0.00613503120418683	0.00466284074605452
mactivos_margen	0.0069169833994319	0.00708376711244507	0.00986370157819225
mcuenta_corriente	0.00687257051212789	0.00452482731624898	0.00636657101865136
mv_mpagominimo	0.00681209330263267	0.00727761865780527	0.00833931133428981
ccomisiones_mantenimiento_tend6	0.00664186969865611	0.00433668215935238	0.00212219033955045
mprestamos_personales_delta1	0.00623677451937247	0.0102233806414715	0.00274988043998087
ctrx_quarter_tend6	0.00622932408511626	0.00316486067037761	0.00603778096604496
cpayroll_trx_lag1	0.00590473377216814	0.00375432741928836	0.00119560019129603
Visa_Finiciomora	0.00572617849398783	0.0123003853214248	0.00185318029650885
mcuentas_saldo_tend6	0.00571431967322394	0.00381855136203934	0.00726327116212339
Master_mfinanciacion_limite	0.0054417458221309	0.00987245699457225	0.00827953132472501
ctrx_quarter_delta1	0.00535155560852361	0.00759631343734814	0.0102223816355811
mprestamos_personales_lag1	0.00526216632081828	0.00450968342997822	0.00251076040172166
mes_avg6	0.00519845422942773	0.0118247171684412	0.0038857006217121
mactivos_margen_lag1	0.0051292893068679	0.00977164700032829	0.0124641319942611
mv_msaldopesos	0.00500701567327298	0.00785018425591526	0.0077714012434242
mcuenta_corriente_tend6	0.00490746251415044	0.00446020248482751	0.00705404112864658
mrentabilidad_annual_delta1	0.0049041004983094	0.00738920722644643	0.0100729316116691
cliente_edad_lag1	0.00476662813616378	0.010452154203718	0.0105212816834051
mactivos_margen_delta1	0.00462222669834762	0.00555588572494657	0.00938546150167384
mrentabilidad_delta1	0.00461211399491002	0.00520941344831174	0.0103718316594931
Master_fultimo_cierre_tend6	0.00455295461995302	0.00977803468438576	0.00944524151123864
mtarjeta_visa_consumo_tend6	0.0045072245522792	0.00464493972944825	0.0079208512673362
mcomisiones_tend6	0.00441005472582661	0.00764316051763807	0.00881755141080823
cliente_edad_avg6	0.00438662515678653	0.00801554880056154	0.00938546150167384
mcomisiones_lag1	0.00438272874107175	0.00479166283139081	0.00944524151123864
mcuenta_corriente_avg6	0.00429566253911923	0.00556230137798106	0.00848876135820182
mactivos_margen_tend6	0.00423100827513321	0.0046485415121545	0.00735294117647059
mactivos_margen_avg6	0.00420312897505684	0.00699177069267493	0.00941535150645624
mv_fultimo_cierre_avg6	0.00419813242504791	0.00512467414139729	0.00902678144428503
