Feature	Gain	Cover	Frequency	pos
ctrx_quarter_normalizado	0.338662127931277	0.0400710670573071	0.00757888934821552	1
mdescubierto_preacordado_tend6	0.0359621283737011	0.0063018058483613	0.00399614165633182	2
mcaja_ahorro	0.0307627859593373	0.00922901533539266	0.00344494970373433	3
mtarjeta_visa_consumo	0.0297509824900189	0.019169032150205	0.00730329337191677	4
mcuentas_saldo	0.023020892901279	0.0113378352893675	0.00785448532451426	5
mv_status06_ratioavg3	0.01476151929453	0.000943425925302095	0.000137797988149373	6
cpayroll_trx	0.0147011127102896	0.0137860503835026	0.00468513159707868	7
mcuentas_saldo_avg3	0.0116936145951131	0.00283020324744932	0.00179137384594185	8
mprestamos_personales_ratioavg6	0.0109176150797912	0.00341540814436246	0.00413393964448119	9
foto_mes	0.00918162481779948	0.0123040445639629	0.0146065867438335	10
cproductos_ratioavg6	0.00860449983265756	0.0060671828129985	0.00413393964448119	11
ctarjeta_visa_trx_ratioavg6	0.00828925097765543	0.010944175979693	0.00496072757337743	12
mpayroll_sobre_edad	0.00827653953965183	0.0114498068431075	0.00330715171558495	13
mprestamos_personales_ratiomax6	0.00782238882669654	0.00345895512176549	0.0050985255615268	14
mpasivos_margen	0.00749231835586478	0.00469213278204534	0.00275595976298746	15
ctarjeta_visa_tend6	0.00660453250990568	0.0026682529104704	0.000551191952597492	16
mv_status07_tend3	0.0056329082402513	0.000904268674014139	0.000137797988149373	17
mprestamos_personales	0.00530410528665907	0.00534485300812056	0.00440953562077994	18
mprestamos_personales_ratiomax3	0.00514656087992114	0.00536226285566694	0.00427173763263056	19
mcuenta_corriente	0.00500999424641571	0.000983104875788787	0.00275595976298746	20
mdescubierto_preacordado	0.00495605135127427	0.00185460338727663	0.00179137384594185	21
mv_status07_ratioavg3	0.00476292105689066	0.000963727476978607	0.000413393964448119	22
mpayroll	0.00471892878991707	0.0143102835497749	0.00399614165633182	23
cpayroll_trx_ratioavg6	0.00442019803481299	0.0141061501061554	0.00344494970373433	24
ctarjeta_visa_ratioavg6	0.00425339534923608	0.00112660196682387	0.000275595976298746	25
mpasivos_margen_avg3	0.00394213414188543	0.000512569462757743	0.0015157778696431	26
mcaja_ahorro_ratioavg6	0.00386314633301571	0.00364147531286599	0.0035827476918837	27
ccaja_ahorro	0.00378211486685295	0.00804477305995421	0.00468513159707868	28
cproductos_ratiomax6	0.00372277025103249	0.00129570703567117	0.00137797988149373	29
mprestamos_personales_ratioavg3	0.0036189335415908	0.00770288866933137	0.00316935372743558	30
cpayroll_trx_avg3	0.00325595126382132	0.000980719965165996	0.00124018189334436	31
mcuentas_saldo_ratioavg6	0.00274950244929359	0.00159480463915199	0.00192917183409122	32
ctarjeta_visa_trx_tend6	0.002506968569486	0.0043109942531405	0.00344494970373433	33
mactivos_margen	0.00244531997787203	0.00346950089842564	0.00330715171558495	34
mcuenta_corriente_ratioavg6	0.00242091131191806	0.00219322343148453	0.00234256579853934	35
mdescubierto_preacordado_delta1	0.00229999771188289	0.00888083329015652	0.00275595976298746	36
cproductos	0.00219648862955738	0.00541690712031165	0.00344494970373433	37
mcaja_ahorro_dolares_delta1	0.00217058274025467	0.00814912035254703	0.00413393964448119	38
Master_fechaalta	0.00204069017667779	0.00186839115181465	0.00248036378668871	39
mcomisiones_mantenimiento	0.00201555499366015	0.00664204316008528	0.00440953562077994	40
mcuentas_saldo_ratiomax6	0.00199699929407883	0.00227886408137983	0.00248036378668871	41
Visa_Finiciomora	0.00198156405714498	0.00407942688451315	0.00248036378668871	42
mtarjeta_visa_consumo_avg3	0.00195101600987542	0.000839488539222568	0.000413393964448119	43
mprestamos_personales_tend6	0.0018717860373923	0.00462092084141793	0.00261816177483809	44
mprestamos_personales_avg6	0.00183541907692995	0.000578251391878557	0.00124018189334436	45
chomebanking_trx_tend3	0.00180620982077264	0.00320656450226289	0.00316935372743558	46
mcomisiones_ratioavg6	0.00174647373071158	0.00170457015056597	0.00344494970373433	47
Visa_fechaalta_tend3	0.00173649803847587	0.00329826431570922	0.00248036378668871	48
mautoservicio	0.00168340159389508	0.00306135325671768	0.00137797988149373	49
mcuenta_corriente_ratioavg3	0.00166465630175459	0.000431750804027899	0.00179137384594185	50
cliente_edad_avg3	0.00164509148636425	0.00569667204205647	0.00399614165633182	51
mcuentas_saldo_ratiomax3	0.00163226715792195	0.00377874182489903	0.00316935372743558	52
mcuentas_saldo_tend6	0.00161119336419027	0.000981182041599161	0.00220476781038997	53
mcuentas_saldo_ratioavg3	0.00160381785920827	0.00179837166649863	0.00261816177483809	54
ccomisiones_mantenimiento_delta1	0.00156477503346527	0.00284378233230784	0.00261816177483809	55
mv_Finiciomora_avg3	0.00154238508081214	0.00216294251942077	0.000964585917045611	56
mrentabilidad_annual_ratiomax6	0.00153749081917588	0.000474082967582447	0.00220476781038997	57
mv_fechaalta_tend3	0.0015371914471036	0.00603839992291969	0.00220476781038997	58
mtarjeta_visa_debitos_automaticos_tend3	0.00153313269120099	0.00303160894954406	0.00289375775113683	59
mpayroll_ratiomax3	0.00150469719428679	0.00158091998761993	0.000964585917045611	60
mactivos_margen_avg3	0.00146661015695997	0.00183685070882823	0.00192917183409122	61
mtransferencias_recibidas	0.00143180863800066	0.00440118859175619	0.00248036378668871	62
Visa_fechaalta	0.00139645011429879	0.000835255322867113	0.0020669698222406	63
mcomisiones_tend6	0.00138291899018412	0.00123172435536909	0.00248036378668871	64
mrentabilidad_avg6	0.00126757164069946	0.000543029243118206	0.00137797988149373	65
ctarjeta_visa_trx_ratiomax6	0.00125974620809567	0.00151266682673392	0.000688989940746865	66
Visa_mpagominimo	0.00123524511977162	0.00319216560437779	0.0020669698222406	67
ccaja_ahorro_ratioavg6	0.00123123530366981	0.00752026413839112	0.0020669698222406	68
cliente_edad_lag1	0.00122786210523052	0.00351918156783667	0.00303155573928621	69
mactivos_margen_avg6	0.00122138413264924	0.00735961059656333	0.00220476781038997	70
mv_mpagominimo	0.00121699517007412	0.00217287716273384	0.00192917183409122	71
cpayroll_trx_ratiomax3	0.00120820840073078	0.0027840701325897	0.000688989940746865	72
mcuenta_debitos_automaticos	0.00120049822695449	0.00510922383858877	0.00234256579853934	73
ccallcenter_trx	0.00119497268757193	0.0024715052369358	0.00261816177483809	74
mcaja_ahorro_avg3	0.00114108666136509	0.00223267134375464	0.00192917183409122	75
mcuenta_corriente_tend3	0.00113030037564381	0.00279536864666518	0.00234256579853934	76
ccaja_seguridad	0.00112810415325924	0.00602670640802231	0.00220476781038997	77
mcomisiones_mantenimiento_ratioavg3	0.00109946937492264	0.00211992469406218	0.00234256579853934	78
ccomisiones_mantenimiento_ratiomax3	0.00109217389001369	2.94387405000812e-05	0.000275595976298746	79
ctrx_quarter_ratiomax3	0.00109206219205046	0.000390991190915255	0.00179137384594185	80
cproductos_tend6	0.00106453438152086	0.00356518798431945	0.00192917183409122	81
mprestamos_personales_lag1	0.00105482466928376	0.000218435454510602	0.000551191952597492	82
mcaja_ahorro_ratioavg3	0.00105116345213246	0.00388758318344667	0.00248036378668871	83
ctarjeta_visa_trx	0.00104517079912738	0.000754533551131321	0.000826787928896238	84
mpayroll_sobre_edad_tend3	0.00102331497335397	0.00266340856076785	0.00234256579853934	85
mvr_mpagominimo_tend3	0.00100909228247248	0.00366667338416492	0.00220476781038997	86
Visa_fechaalta_avg3	0.0009829170455321	0.000124574315812369	0.000551191952597492	87
cliente_edad	0.000978587545249705	0.00203030422456509	0.00261816177483809	88
mpagomiscuentas	0.000972539737493529	0.00866692171298352	0.00137797988149373	89
chomebanking_trx_delta1	0.000958449099469152	0.00312570857930457	0.00248036378668871	90
mv_status01	0.000957996759292815	0.000821124727427074	0.000688989940746865	91
mactivos_margen_delta1	0.000956798876272233	0.00478531571178522	0.00248036378668871	92
mcuentas_saldo_tend3	0.000953623084970987	0.00193718837043648	0.00234256579853934	93
mactivos_margen_tend6	0.000930544535698282	0.00290665453860118	0.00234256579853934	94
mtarjeta_visa_consumo_ratioavg6	0.00091469304477303	0.00128460974842949	0.00110238390519498	95
mrentabilidad_annual_ratioavg6	0.000913081701245261	0.000299358453080193	0.0015157778696431	96
cliente_edad_avg6	0.000909035300713552	0.00101214861546697	0.0020669698222406	97
mpayroll_ratioavg3	0.000904861584102309	0.00243570176621115	0.00110238390519498	98
mrentabilidad_tend6	0.00087789236276185	0.000899424324311594	0.00192917183409122	99
internet_avg6	0.000863036254855129	0.000860095657572625	0.0015157778696431	100
ccallcenter_trx_avg3	0.000857841105709006	0.00173561125289074	0.00234256579853934	101
mrentabilidad_ratioavg6	0.000856409897747402	4.65504742186094e-05	0.000964585917045611	102
tcallcenter	0.000843321118545875	0.000269368201998591	0.000688989940746865	103
ccaja_ahorro_avg3	0.000840429034274493	0.000693047574137481	0.000964585917045611	104
mrentabilidad_annual_avg3	0.000830273156786147	0.00023237227596254	0.00192917183409122	105
ccallcenter_trx_ratioavg3	0.000828276629877978	0.00147539514540711	0.000964585917045611	106
mtarjeta_visa_consumo_tend6	0.000828248115360241	0.0013574016923445	0.00110238390519498	107
mcomisiones_mantenimiento_ratiomax3	0.000827987275151765	0.00144450309999626	0.00165357585779248	108
mrentabilidad_annual_tend3	0.000827830931127554	0.00116859129947639	0.00192917183409122	109
mv_Fvencimiento_tend3	0.000821062423766206	0.000736370966169626	0.00124018189334436	110
mcaja_ahorro_dolares_ratioavg3	0.000794195992707593	0.00123258143262416	0.00165357585779248	111
mcomisiones_ratiomax6	0.000793982191792124	0.00182866003140808	0.00234256579853934	112
mpasivos_margen_ratioavg6	0.000778949445695229	0.000414095012573547	0.00165357585779248	113
cproductos_ratiomax3	0.000777997543865796	0.000643113507972786	0.000688989940746865	114
mactivos_margen_ratioavg6	0.000773835164052651	0.000677508390860856	0.0020669698222406	115
mpayroll_avg6	0.000770140941278052	0.00127825992389631	0.00137797988149373	116
Visa_mfinanciacion_limite_ratioavg3	0.000769363713642728	0.0107325524261487	0.00192917183409122	117
Master_status	0.000759512454290645	0.000796083165887765	0.000551191952597492	118
mtarjeta_visa_debitos_automaticos_ratiomax3	0.000755886660837896	0.000370600205090389	0.00124018189334436	119
mcuenta_corriente_avg3	0.000749182952925132	0.000340237311723976	0.0015157778696431	120
mcuentas_saldo_delta1	0.000735239207452679	0.00211751742490229	0.00179137384594185	121
mcaja_ahorro_dolares_ratioavg6	0.000733745576712362	0.000323006332474308	0.00165357585779248	122
mcaja_ahorro_lag1	0.000730934186041851	0.00111612326577498	0.00192917183409122	123
ccomisiones_mantenimiento_ratioavg3	0.000718643048717268	0.000497745752667955	0.0015157778696431	124
mprestamos_personales_tend3	0.000714021416786604	0.00498292046257488	0.00165357585779248	125
tcallcenter_avg3	0.000710395286569947	0.00382669343410853	0.00179137384594185	126
Visa_mpagominimo_avg3	0.000710199350703732	0.000240235028172055	0.000826787928896238	127
mv_status04	0.000707363356945458	0.000298508828670823	0.000688989940746865	128
ccajas_consultas_tend3	0.000700880462642482	0.00686080653980651	0.00192917183409122	129
ctarjeta_visa_trx_avg6	0.000700420665353884	0.000304799030438435	0.000964585917045611	130
internet_ratioavg6	0.000690298375924765	0.00237313512659135	0.0015157778696431	131
mprestamos_hipotecarios_avg6	0.000687596060875588	0.0118518804155731	0.00220476781038997	132
mv_mpagominimo_avg3	0.000687353888981097	0.00070443552236131	0.000688989940746865	133
ccallcenter_trx_tend3	0.000685643176637572	0.00102419241411206	0.00124018189334436	134
cproductos_ratioavg3	0.000681469638069543	0.000294715330211446	0.000826787928896238	135
mv_msaldopesos	0.000679891504431696	4.15123505279626e-05	0.000275595976298746	136
mcaja_ahorro_ratiomax3	0.00067734850631434	0.000309539040301233	0.00124018189334436	137
mcuenta_corriente_tend6	0.000672367464483635	0.00350752531716777	0.00179137384594185	138
cpayroll_trx_ratioavg3	0.000669930243357535	0.00124853797525977	0.000826787928896238	139
mcaja_ahorro_delta1	0.000663622172308102	0.00223771692029098	0.00165357585779248	140
mrentabilidad_annual	0.000658607172529942	0.000179449618673659	0.00110238390519498	141
mcomisiones_mantenimiento_tend3	0.000652825435864247	0.00187591852596783	0.00137797988149373	142
mpayroll_tend3	0.000649195579161729	0.00093864119836512	0.00110238390519498	143
ctarjeta_master_tend6	0.000642163231080697	0.000297957318089303	0.000551191952597492	144
cpayroll_trx_lag1	0.000638236657772121	0.00018073150813341	0.000275595976298746	145
Visa_cconsumos_avg3	0.000636503444354895	0.000433807789440057	0.00124018189334436	146
mtransferencias_emitidas_avg3	0.000629988393239298	0.00177856200263807	0.00165357585779248	147
Visa_fechaalta_lag1	0.000626660177624895	0.000757320915421709	0.00124018189334436	148
ccomisiones_mantenimiento_tend3	0.000626624265342634	0.000646601439758618	0.000826787928896238	149
ccallcenter_trx_ratiomax3	0.000625984137882498	0.00277787681781614	0.00124018189334436	150
mrentabilidad_annual_tend6	0.000617698959056772	0.00258728519482663	0.00179137384594185	151
mvr_mpagominimo	0.000617127415498639	0.00255869607873592	0.00124018189334436	152
ccomisiones_mantenimiento_avg3	0.000603839506694496	0.0021595365689376	0.00137797988149373	153
chomebanking_trx	0.000602574483440136	0.000334848904285607	0.0015157778696431	154
Visa_msaldototal_tend3	0.000599774683520834	0.000297867883940948	0.000688989940746865	155
chomebanking_trx_ratioavg3	0.000585672584482164	0.000221424045634788	0.00110238390519498	156
mrentabilidad_tend3	0.000581932285780163	0.000402572913127186	0.00110238390519498	157
Visa_mfinanciacion_limite	0.000565505539992897	0.00192818533283544	0.00137797988149373	158
cliente_antiguedad_ratioavg6	0.000556810692014303	0.0018345477795081	0.0015157778696431	159
ctarjeta_visa_debitos_automaticos_tend3	0.000554287758953039	0.00320101213221921	0.00137797988149373	160
cliente_antiguedad	0.000546454925824369	0.000134605846119485	0.000964585917045611	161
mcuenta_corriente_avg6	0.000543062462833361	0.00166461544478851	0.0015157778696431	162
mv_msaldototal_avg3	0.000542658776760571	0.000293075704158277	0.000688989940746865	163
Master_mfinanciacion_limite	0.000538055929079006	0.00120669024667548	0.0015157778696431	164
cpayroll_trx_ratiomax6	0.00053746998472329	0.000324221146322793	0.000413393964448119	165
mrentabilidad_ratiomax6	0.00053535949083605	0.00133525183493533	0.0015157778696431	166
ctrx_quarter_tend3	0.00053391582813059	0.000889474775307136	0.00124018189334436	167
ccaja_seguridad_avg3	0.000524597013218878	0.000254320906537916	0.000413393964448119	168
mtarjeta_master_consumo	0.000522844413794095	0.000614822505709923	0.000964585917045611	169
canarito140	0.000522633053036775	0.00106843250616485	0.00179137384594185	170
ctrx_quarter_ratioavg3	0.000521053224537952	0.000943321585462348	0.000688989940746865	171
mcuentas_saldo_lag1	0.000520994177679393	0.00357899810739455	0.0015157778696431	172
ctrx_quarter_normalizado_ratioavg3	0.000519768384659891	0.000223384144052894	0.000964585917045611	173
mpayroll_tend6	0.000510726193694546	0.000693360593656722	0.00110238390519498	174
mactivos_margen_ratiomax6	0.00050249010786959	0.0044311639371464	0.0015157778696431	175
Visa_msaldopesos_tend3	0.000497580763626851	0.000488340261399321	0.000826787928896238	176
mprestamos_personales_delta1	0.000496986063409542	0.000618466947255376	0.000826787928896238	177
ccomisiones_otras_avg3	0.000490600805796486	0.00787398364797956	0.00165357585779248	178
canarito379	0.00048927292500673	0.000683709158480113	0.00110238390519498	179
mplazo_fijo_dolares_ratiomax3	0.000481059253304138	0.00120656354829864	0.000688989940746865	180
ctarjeta_visa_trx_ratioavg3	0.000477493436951232	0.00147965817314535	0.00110238390519498	181
canarito455	0.000472631062992503	0.000974385046324206	0.00124018189334436	182
mcaja_ahorro_avg6	0.000472221033612669	0.000593231611727965	0.00124018189334436	183
mv_mpagospesos_lag1	0.000462978619942189	0.000448467536924528	0.00110238390519498	184
Master_fechaalta_tend3	0.000461084803265431	0.00105815503194975	0.000964585917045611	185
canarito345	0.00045984288974413	0.00213851209122856	0.0015157778696431	186
canarito290	0.000457936176665933	0.000314554805454791	0.00137797988149373	187
mrentabilidad_ratioavg3	0.000456881625333006	0.00145597302952275	0.00124018189334436	188
mrentabilidad_annual_delta1	0.0004553533713985	0.000844802418203975	0.00137797988149373	189
ccaja_ahorro_avg6	0.000454980813904269	0.00095829435246606	0.000964585917045611	190
mcuenta_corriente_ratiomax3	0.000453362679891154	0.000443250544937172	0.00110238390519498	191
mcuenta_debitos_automaticos_ratiomax3	0.000453109122892266	0.00663020804111967	0.0015157778696431	192
canarito34	0.000452072338615818	0.000164596097201087	0.00137797988149373	193
ctrx_quarter_delta1	0.000450943174754874	0.00147494797466533	0.00137797988149373	194
Visa_mpagominimo_tend3	0.000448671092159617	0.000223644993652262	0.000688989940746865	195
canarito813	0.000441864489071329	0.000209417511218172	0.00137797988149373	196
mrentabilidad_annual_lag1	0.000441740115535446	0.000126504602847691	0.000964585917045611	197
chomebanking_trx_avg3	0.000441090321294951	0.000245265699017005	0.000826787928896238	198
internet_tend6	0.000439841531717146	0.00474912469308436	0.0015157778696431	199
mpayroll_ratioavg6	0.000438175621394931	0.0015695320393961	0.000826787928896238	200
