Feature	Gain	Cover	Frequency
mv_status07_ratioavg3	0.153716808788856	0.0105011492873916	0.00157466144778873
ctrx_quarter_normalizado	0.0840633911183602	0.0056716051349483	0.00355423583929455
mcuentas_saldo_avg3	0.0520254758133045	0.00357049957309375	0.00350924551221487
ctrx_quarter	0.0291310427900581	0.00528003864049829	0.0034642551851352
mcaja_ahorro_min3	0.010548516163657	0.00209156537990705	0.00260943897062132
mprestamos_personales_ratiomax3	0.00885567710068426	0.0032862987257291	0.000989787195752913
ctrx_quarter_min3	0.00883830942476211	0.00356699438019333	0.00278940027894003
cpayroll_trx	0.00872549758206869	0.00198423981761978	0.00062986457911549
mv_msaldopesos_max3	0.00773506745248802	0.0011833355304071	0.00139470013947001
mv_status06_ratioavg3	0.00659425711147081	0.00420320322246205	0.00103477752283259
mcuentas_saldo	0.0061319399468185	0.00337747976442656	0.00404912943717101
mpayroll_sobre_edad	0.00587993373111807	0.00350541559373627	0.000899806541593557
mtarjeta_visa_consumo_min3_delta3	0.00567632758997131	0.000509773594798944	0.00112475817699195
mprestamos_personales_avg3_delta3	0.00538078135387579	0.00179991506974018	0.00062986457911549
mpayroll_ratiomax3	0.00510313750847572	0.000761905119062434	0.000314932289557745
mdescubierto_preacordado_avg3_delta3	0.00508655328313346	0.00240211418775533	0.000674854906195168
mprestamos_personales_delta3	0.00488512543832179	0.00408574956785516	0.00103477752283259
mprestamos_personales_ratioavg3	0.00449303220148824	0.00283006914230164	0.00125972915823098
mes	0.00407202778125668	0.00182474463291806	0.00184460341026679
mcuentas_saldo_min3	0.00403614529686403	0.00296419324789562	0.00332928420389616
mprestamos_personales	0.00396221251916891	0.00214983605705435	0.000539883924956135
mcuentas_saldo_ratioavg3	0.00380968463530883	0.00462034122001031	0.00571377153911909
mactivos_margen	0.00380045305816981	0.00267695486360838	0.00274440995186035
mv_status07_delta3	0.00376773858095209	0.00183587076247923	0.000674854906195168
mtarjeta_visa_consumo	0.0036889689557727	0.00208212912151017	0.00215953569982454
mv_msaldototal	0.00365734188864722	0.00100447753244598	0.00220452602690422
mv_status01	0.00352194631668311	0.00128989057379758	0.000359922616637423
mpasivos_margen	0.00327308603050418	0.0040884237435061	0.00287938093309938
mcaja_ahorro_ratioavg3	0.00326761957077899	0.00280754259923676	0.00422909074548972
cpayroll_trx_ratioavg3	0.00324017349759101	0.0012026163182926	0.000764835560354524
mpayroll	0.00316290993361135	0.00221502878498445	0.000674854906195168
mcuentas_saldo_ratiomax3	0.00292797039264212	0.00418517656913929	0.00377918747469294
mv_status01_max3	0.00287408517318472	0.00305989384757871	0.000584874252035812
mcuenta_corriente_avg3	0.00276225694876241	0.00118669931304755	0.00170963242902776
cpayroll_trx_ratiomax3	0.00266798755610907	0.00129649491543989	0.000809825887434202
foto_mes	0.00224909804033269	0.00302621074019854	0.00247446798938228
Visa_Finiciomora	0.00221127606189126	0.00232882804216467	0.000449903270796779
Visa_msaldototal	0.00212044423217282	0.000979415254745812	0.00170963242902776
mdescubierto_preacordado	0.00208737029121452	0.00230182684793424	0.000584874252035812
mcaja_ahorro_ratioavg3_lag3	0.00201344232021672	0.0027464889978659	0.00422909074548972
mcaja_ahorro_ratiomax3	0.00200631445801363	0.00148449039158983	0.00292437126017906
mrentabilidad_annual_ratioavg3	0.00199853513729109	0.00188839298265474	0.00377918747469294
mrentabilidad_annual_tend3_lag3	0.00199685822613237	0.00167878437721881	0.00292437126017906
mcuenta_corriente_ratiomax3	0.00199154622862616	0.00185990865089465	0.00373419714761326
mcuenta_corriente_ratioavg3_lag3	0.00195743480222402	0.00234738284981794	0.00364421649345391
mactivos_margen_ratioavg3	0.00194999429614583	0.00165811361184368	0.00391415845593197
mtransferencias_recibidas	0.00194708593061906	0.0016535398621495	0.0012147388311513
Master_mfinanciacion_limite	0.00194403423653397	0.00337505648991927	0.00359922616637423
Master_Fvencimiento_min3	0.00188966951820525	0.00175898663510366	0.00332928420389616
cliente_edad_max3	0.00184377349217492	0.00186106034652892	0.00229450668106357
mcomisiones_min3_lag3	0.00181189481186073	0.00236776596965115	0.00292437126017906
mactivos_margen_max3_delta3	0.00177915584870641	0.00303094779832942	0.00350924551221487
mrentabilidad_annual_min3_delta3	0.00172973584105554	0.00164487634958264	0.00274440995186035
mcaja_ahorro_ratioavg3_delta3	0.00172445896733815	0.00133869233086066	0.00332928420389616
numero_de_cliente	0.00172197866543085	0.00229711911109086	0.00359922616637423
cliente_edad	0.00171712507634353	0.00241028814616764	0.00332928420389616
chomebanking_trx_ratioavg3	0.00171043561705751	0.00134655637439878	0.00287938093309938
Visa_mfinanciacion_limite	0.00167227961392048	0.00254178187246415	0.00296936158725874
mcuentas_saldo_min3_lag3	0.00166548706071606	0.00116013199964099	0.00229450668106357
cliente_edad_avg3	0.00165805363639667	0.00149217516700311	0.00211454537274486
mcuenta_corriente_min3	0.00165403912632594	0.00175139019470841	0.0020245647185855
ctrx_quarter_ratioavg3	0.00165310789689836	0.00205613784149851	0.00301435191433842
cliente_edad_min3_lag3	0.00164985853302471	0.00272980889683482	0.00283439060601971
Master_fechaalta_lag3	0.00164893184961806	0.00261021775748487	0.00382417780177262
