,experimento,fecha,lambda_l1,lambda_l2,min_gain_to_split,bagging_fraction,pos_bagging_fraction,neg_bagging_fraction,max_depth,max_bin,seed,extra_trees,drop_rate,max_drop,skip_drop,metric,first_metric_only,objective,boost_from_average,force_row_wise,feature_pre_filter,boosting,num_threads,verbosity,verbose,learning_rate,feature_fraction,num_leaves,min_data_in_leaf,num_iterations,prob_corte,estimulos,ganancia,iteracion_bayesiana
HT8310_2019_02,20220617,43444,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.084182090823439,0.175879165340634,656,1264,55,0.044227280926702,12432,12048000,73
HT8310_2019_02,20220617,43604,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.078438091362519,0.321540998298954,273,3175,141,0.06170553989108,9630,11970000,90
HT8310_2019_02,20220617,43707,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.052717143042404,0.969354339546012,999,825,112,0.046357982389122,11020,11780000,17
HT8310_2019_02,20220617,43828,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.116626269021591,0.187329562072479,784,2438,56,0.049368722928348,11642,11758000,85
HT8310_2019_02,20220617,43911,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.15709805486884,0.113999766346021,1294,2271,63,0.048889808375549,11182,11738000,116
HT8310_2019_02,20220617,44038,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.138663862866652,0.734236518382677,799,7414,214,0.060500803627806,10718,11722000,18
HT8310_2019_02,20220617,44143,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.145854251031692,0.355708580444171,183,5969,123,0.046829250571295,12450,11670000,44
HT8310_2019_02,20220617,44234,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.199342249316387,0.951347630601563,482,5832,66,0.057305270002476,10522,11558000,25
HT8310_2019_02,20220617,44327,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.245570529233033,0.319760480330302,172,2899,60,0.05554053112935,10896,11544000,34
HT8310_2019_02,20220617,44432,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.220023097622341,0.341383242442389,514,4853,70,0.055188242800782,10896,11544000,82
