                                      1             2 MeanDecreaseAccuracy MeanDecreaseGini
ctrx_quarter                0.068361081 -5.414352e-05          0.034136210        179.40118
cpayroll_trx                0.003284108 -3.251804e-05          0.001623995         12.92890
mcaja_ahorro                0.054159257 -7.471997e-05          0.027044651        145.24191
mtarjeta_visa_consumo       0.152613126 -3.290205e-04          0.076117989        280.04052
ctarjeta_visa_trx           0.140062757 -9.633779e-05          0.069951031        229.89299
mcuentas_saldo              0.066814044 -2.628070e-04          0.033290952        193.07995
mrentabilidad_annual        0.032137979 -7.055275e-05          0.016026948        131.34356
mprestamos_personales       0.003599703 -5.063057e-05          0.001774438         24.50070
mactivos_margen             0.053507897 -1.568109e-04          0.026672287        163.12735
mpayroll                    0.005001854  3.031100e-06          0.002498933         16.16512
Visa_mpagominimo            0.140682108 -6.942641e-05          0.070271444        283.41593
Master_fechaalta            0.042596837  6.720193e-05          0.021331805        120.72228
cliente_edad                0.003137047 -2.536841e-05          0.001553869         49.82603
chomebanking_trx            0.057952721  6.510356e-05          0.028994916        117.76006
Visa_msaldopesos            0.216919377 -1.697272e-04          0.108325271        422.79467
Visa_Fvencimiento           0.025994663 -1.552282e-04          0.012931881         82.47699
mrentabilidad               0.090284801  1.941915e-04          0.045240458        217.06178
Visa_msaldototal            0.218558083 -3.745849e-05          0.109222828        420.97737
Master_Fvencimiento         0.019362551 -6.281716e-05          0.009657402         78.43620
mcuenta_corriente           0.050310689 -1.592368e-04          0.025081914        141.21699
Visa_mpagospesos            0.096662448 -2.970431e-04          0.048153060        194.10226
Visa_fechaalta              0.064377759 -8.347421e-05          0.032150253        139.61210
mcomisiones_mantenimiento   0.040124428 -3.751416e-05          0.020053093         87.08457
Visa_mfinanciacion_limite   0.027417470 -1.393648e-04          0.013648142         85.13494
mtransferencias_recibidas   0.019190947  5.526384e-05          0.009620081         77.53492
cliente_antiguedad          0.029700492 -1.194716e-04          0.014787317        113.99536
Visa_mconsumospesos         0.113490031 -2.461955e-04          0.056594945        219.31586
Master_mfinanciacion_limite 0.024129174 -1.742387e-04          0.011987145         75.94358
mcaja_ahorro_dolares        0.008233489 -2.145655e-04          0.004008658         44.42598
cproductos                  0.013768298 -9.202364e-05          0.006845658         54.60119
mcomisiones_otras           0.124151338 -2.409774e-04          0.061973492        246.32142
thomebanking                0.029138484  1.438473e-04          0.014636184         64.79744
mcuenta_debitos_automaticos 0.004450006 -3.450823e-05          0.002207346         23.29849
mcomisiones                 0.122959505  7.300510e-05          0.061535565        249.51664
Visa_cconsumos              0.079270488 -1.336191e-04          0.039534729        155.37738
ccomisiones_otras           0.086140623 -4.235036e-05          0.043056094        149.71902
Master_status               0.002849428 -2.444303e-05          0.001413239         15.88033
mtransferencias_emitidas    0.019572682  7.161962e-05          0.009817349         56.10514
mpagomiscuentas             0.014084548  3.476780e-05          0.007055538         32.22606
