                                       1            2 MeanDecreaseAccuracy
ctrx_quarter                0.0012209317 1.510520e-04         0.0006126230
cpayroll_trx                0.0002674241 2.653208e-05         0.0001328452
mcaja_ahorro                0.0015499703 1.294752e-04         0.0007772510
mtarjeta_visa_consumo       0.0022806215 1.166214e-04         0.0011410347
ctarjeta_visa_trx           0.0023340008 1.178627e-04         0.0011702514
mcuentas_saldo              0.0018380873 1.400921e-04         0.0009180895
mrentabilidad_annual        0.0008646291 1.192212e-04         0.0004334547
mprestamos_personales       0.0002130672 5.114913e-05         0.0001075924
mactivos_margen             0.0014959589 1.246563e-04         0.0007495062
mpayroll                    0.0002990266 3.125994e-05         0.0001501118
Visa_mpagominimo            0.0022084099 1.271325e-04         0.0011054171
Master_fechaalta            0.0017662679 1.018484e-04         0.0008850545
cliente_edad                0.0001815158 8.486512e-05         0.0001024179
chomebanking_trx            0.0018128093 1.108898e-04         0.0009099860
Visa_msaldopesos            0.0032267571 1.492851e-04         0.0016127552
Visa_Fvencimiento           0.0013661981 9.736113e-05         0.0006849195
mrentabilidad               0.0026173506 1.294526e-04         0.0013132418
Visa_msaldototal            0.0032813565 1.486549e-04         0.0016439413
Master_Fvencimiento         0.0010934567 9.643688e-05         0.0005484888
mcuenta_corriente           0.0017780340 1.183140e-04         0.0008924945
Visa_mpagospesos            0.0022108668 1.155925e-04         0.0011061444
Visa_fechaalta              0.0024413396 1.248657e-04         0.0012220131
mcomisiones_mantenimiento   0.0018252664 9.043749e-05         0.0009171742
Visa_mfinanciacion_limite   0.0014170608 9.122667e-05         0.0007073726
mtransferencias_recibidas   0.0006548344 1.087112e-04         0.0003320427
cliente_antiguedad          0.0011462209 1.055123e-04         0.0005709678
Visa_mconsumospesos         0.0024278854 1.187320e-04         0.0012145012
Master_mfinanciacion_limite 0.0014143578 9.021641e-05         0.0007059834
mcaja_ahorro_dolares        0.0003765340 7.399516e-05         0.0001859417
cproductos                  0.0005390331 8.529285e-05         0.0002737297
mcomisiones_otras           0.0037115613 1.290904e-04         0.0018590706
thomebanking                0.0012535169 8.899101e-05         0.0006283580
mcuenta_debitos_automaticos 0.0002312476 5.495294e-05         0.0001173633
mcomisiones                 0.0036516786 1.265151e-04         0.0018331272
Visa_cconsumos              0.0018356818 9.985034e-05         0.0009152491
ccomisiones_otras           0.0019006069 1.238476e-04         0.0009536913
Master_status               0.0002087984 3.570734e-05         0.0001042482
mtransferencias_emitidas    0.0006697427 7.910698e-05         0.0003400555
mpagomiscuentas             0.0005014899 5.917931e-05         0.0002531590
