max_depth	min_split	ganancia_promedio
4	1000	9184667
4	800	9184667
4	600	9176667
4	400	9176667
4	200	9176667
4	100	9176667
4	50	9176667
4	20	9176667
4	10	9180667
6	1000	9610667
6	800	9607333
6	600	9588000
6	400	9560667
6	200	9488667
6	100	9486000
6	50	9456667
6	20	9458000
6	10	9485333
8	1000	9653333
8	800	9505333
8	600	9497333
8	400	9439333
8	200	9222667
8	100	9281333
8	50	9072000
8	20	9024000
8	10	9064667
10	1000	9051333
10	800	8892000
10	600	9152000
10	400	9135333
10	200	8930000
10	100	8993333
10	50	8822667
10	20	8752000
10	10	8820000
12	1000	8702000
12	800	8554667
12	600	8733333
12	400	8290667
12	200	7744000
12	100	8012000
12	50	7877333
12	20	7692000
12	10	7731333
14	1000	8571333
14	800	8509333
14	600	8764667
14	400	8096667
14	200	7442667
14	100	7433333
14	50	7050667
14	20	6570000
14	10	6595333
