cp = (-0.01, -0.05, -0.1)
min_split = (10,20,50,100,200,400,600,800,1000,1200)
min_bucket = (2400, 2000, 1600, 1200, 800, 400, 200, 100, 40, 20)
max_deptch = (4, 6, 8, 10, 12, 14 )


max_depth	min_split	min_bucket	cp	ganancia_promedio
4	10	2400	-0.01	8789333
4	20	2400	-0.01	8789333
4	50	2400	-0.01	8789333
4	100	2400	-0.01	8789333
4	200	2400	-0.01	8789333
4	400	2400	-0.01	8789333
4	600	2400	-0.01	8789333
4	800	2400	-0.01	8789333
4	1000	2400	-0.01	8789333
4	1200	2400	-0.01	8789333
4	10	2000	-0.01	8563333
4	20	2000	-0.01	8563333
4	50	2000	-0.01	8563333
4	100	2000	-0.01	8563333
4	200	2000	-0.01	8563333
4	400	2000	-0.01	8563333
4	600	2000	-0.01	8563333
4	800	2000	-0.01	8563333
4	1000	2000	-0.01	8563333
4	1200	2000	-0.01	8563333
4	10	1600	-0.01	8484000
4	20	1600	-0.01	8484000
4	50	1600	-0.01	8484000
4	100	1600	-0.01	8484000
4	200	1600	-0.01	8484000
4	400	1600	-0.01	8484000
4	600	1600	-0.01	8484000
4	800	1600	-0.01	8484000
4	1000	1600	-0.01	8484000
4	1200	1600	-0.01	8484000
4	10	1200	-0.01	8802667
4	20	1200	-0.01	8802667
4	50	1200	-0.01	8802667
4	100	1200	-0.01	8802667
4	200	1200	-0.01	8802667
4	400	1200	-0.01	8802667
4	600	1200	-0.01	8802667
4	800	1200	-0.01	8802667
4	1000	1200	-0.01	8802667
4	1200	1200	-0.01	8802667
4	10	800	-0.01	9078667
4	20	800	-0.01	9078667
4	50	800	-0.01	9078667
4	100	800	-0.01	9078667
4	200	800	-0.01	9078667
4	400	800	-0.01	9078667
4	600	800	-0.01	9078667
4	800	800	-0.01	9078667
4	1000	800	-0.01	9078667
4	1200	800	-0.01	9078667
4	10	400	-0.01	9460000
4	20	400	-0.01	9460000
4	50	400	-0.01	9460000
4	100	400	-0.01	9460000
4	200	400	-0.01	9460000
4	400	400	-0.01	9460000
4	600	400	-0.01	9460000
4	800	400	-0.01	9460000
4	1000	400	-0.01	9460000
4	1200	400	-0.01	9442667
4	10	200	-0.01	9292667
4	20	200	-0.01	9292667
4	50	200	-0.01	9292667
4	100	200	-0.01	9292667
4	200	200	-0.01	9292667
4	400	200	-0.01	9292667
4	600	200	-0.01	9292667
4	800	200	-0.01	9364000
4	1000	200	-0.01	9364000
4	1200	200	-0.01	9361333
4	10	100	-0.01	9289333
4	20	100	-0.01	9289333
4	50	100	-0.01	9289333
4	100	100	-0.01	9289333
4	200	100	-0.01	9289333
4	400	100	-0.01	9289333
4	600	100	-0.01	9289333
4	800	100	-0.01	9352000
4	1000	100	-0.01	9352000
4	1200	100	-0.01	9349333
4	10	40	-0.01	9284000
4	20	40	-0.01	9284000
4	50	40	-0.01	9284000
4	100	40	-0.01	9284000
4	200	40	-0.01	9284000
4	400	40	-0.01	9284000
4	600	40	-0.01	9284000
4	800	40	-0.01	9314667
4	1000	40	-0.01	9314667
4	1200	40	-0.01	9314667
4	10	20	-0.01	9080000
4	20	20	-0.01	9080000
4	50	20	-0.01	9080000
4	100	20	-0.01	9080000
4	200	20	-0.01	9080000
4	400	20	-0.01	9080000
