cp = (-1, -0.1)
min_split = (40,50,60,2400,2600,3000)
min_bucket = (80,100,120)
max_deptch = (5, 6, 7)



max_depth	min_split	min_bucket	cp	ganancia_promedio
5	40	80	-1	9542000
5	50	80	-1	9542000
5	60	80	-1	9542000
5	2400	80	-1	9829333
5	2600	80	-1	9646000
5	3000	80	-1	9275333
5	40	100	-1	9643333
5	50	100	-1	9643333
5	60	100	-1	9643333
5	2400	100	-1	9825333
5	2600	100	-1	9642000
5	3000	100	-1	9271333
5	40	120	-1	9598000
5	50	120	-1	9598000
5	60	120	-1	9598000
5	2400	120	-1	9825333
5	2600	120	-1	9600667
5	3000	120	-1	9230000
5	40	80	-0.1	9542000
5	50	80	-0.1	9542000
5	60	80	-0.1	9542000
5	2400	80	-0.1	9829333
5	2600	80	-0.1	9646000
5	3000	80	-0.1	9275333
5	40	100	-0.1	9643333
5	50	100	-0.1	9643333
5	60	100	-0.1	9643333
5	2400	100	-0.1	9825333
5	2600	100	-0.1	9642000
5	3000	100	-0.1	9271333
5	40	120	-0.1	9598000
5	50	120	-0.1	9598000
5	60	120	-0.1	9598000
5	2400	120	-0.1	9825333
5	2600	120	-0.1	9600667
5	3000	120	-0.1	9230000
6	40	80	-1	9379333
6	50	80	-1	9379333
6	60	80	-1	9379333
6	2400	80	-1	9746667
6	2600	80	-1	9563333
6	3000	80	-1	9190000
6	40	100	-1	9542000
6	50	100	-1	9542000
6	60	100	-1	9542000
6	2400	100	-1	9695333
6	2600	100	-1	9512000
6	3000	100	-1	9138667
6	40	120	-1	9346667
6	50	120	-1	9346667
6	60	120	-1	9346667
6	2400	120	-1	9692667
6	2600	120	-1	9468000
6	3000	120	-1	9094667
6	40	80	-0.1	9379333
6	50	80	-0.1	9379333
6	60	80	-0.1	9379333
6	2400	80	-0.1	9746667
6	2600	80	-0.1	9563333
6	3000	80	-0.1	9190000
6	40	100	-0.1	9542000
6	50	100	-0.1	9542000
6	60	100	-0.1	9542000
6	2400	100	-0.1	9695333
6	2600	100	-0.1	9512000
6	3000	100	-0.1	9138667
6	40	120	-0.1	9346667
6	50	120	-0.1	9346667
6	60	120	-0.1	9346667
6	2400	120	-0.1	9692667
6	2600	120	-0.1	9468000
6	3000	120	-0.1	9094667
7	40	80	-1	8768000
7	50	80	-1	8768000
7	60	80	-1	8768000
7	2400	80	-1	9424000
7	2600	80	-1	9240667
7	3000	80	-1	8867333
7	40	100	-1	8546667
7	50	100	-1	8546667
7	60	100	-1	8546667
7	2400	100	-1	9440000
7	2600	100	-1	9256667
7	3000	100	-1	8883333
7	40	120	-1	8686000
7	50	120	-1	8686000
7	60	120	-1	8686000
7	2400	120	-1	9492667
7	2600	120	-1	9268000
7	3000	120	-1	8894667
7	40	80	-0.1	8768000
7	50	80	-0.1	8768000
7	60	80	-0.1	8768000
7	2400	80	-0.1	9424000
7	2600	80	-0.1	9240667
7	3000	80	-0.1	8867333
7	40	100	-0.1	8546667
7	50	100	-0.1	8546667
7	60	100	-0.1	8546667
7	2400	100	-0.1	9440000
7	2600	100	-0.1	9256667
7	3000	100	-0.1	8883333
7	40	120	-0.1	8686000
7	50	120	-0.1	8686000
7	60	120	-0.1	8686000
7	2400	120	-0.1	9492667
7	2600	120	-0.1	9268000
7	3000	120	-0.1	8894667
