cp = (-1, -0.1)
min_split = (1200,1400,1600)
min_bucket = (90,110,130,140)
max_deptch = (5, 6)


max_depth	min_split	min_bucket	cp	ganancia_promedio
5	1200	90	-0.1	9866000
5	1400	90	-0.1	9640667
5	1600	90	-0.1	9680667
5	1200	110	-0.1	10016667
5	1400	110	-0.1	9791333
5	1600	110	-0.1	9831333
5	1200	130	-0.1	9944667
5	1400	130	-0.1	9840000
5	1600	130	-0.1	9772667
5	1200	140	-0.1	9926000
5	1400	140	-0.1	9821333
5	1600	140	-0.1	9754000
6	1200	90	-0.1	9952667
6	1400	90	-0.1	9694667
6	1600	90	-0.1	9732000
6	1200	110	-0.1	9944000
6	1400	110	-0.1	9681333
6	1600	110	-0.1	9685333
6	1200	130	-0.1	9878667
6	1400	130	-0.1	9758000
6	1600	130	-0.1	9654667
6	1200	140	-0.1	9858000
6	1400	140	-0.1	9737333
6	1600	140	-0.1	9634000
