cp = (-0.1)
min_split = (1200,1300)
min_bucket = (40,60, 80, 100)
max_deptch = (5, 6)


max_depth	min_split	min_bucket	cp	ganancia_promedio
5	1200	40	-0.1	9866667
5	1300	40	-0.1	9806000
5	1200	60	-0.1	10024000
5	1300	60	-0.1	10024000
5	1200	80	-0.1	9902000
5	1300	80	-0.1	9902000
5	1200	100	-0.1	10046000
5	1300	100	-0.1	10046000
6	1200	40	-0.1	10143333
6	1300	40	-0.1	10028667
6	1200	60	-0.1	10054667
6	1300	60	-0.1	10019333
6	1200	80	-0.1	9983333
6	1300	80	-0.1	9926667
6	1200	100	-0.1	10148667
6	1300	100	-0.1	10092000
