cp = (-0.1)
min_split = (1150,1200,1250)
min_bucket = (95,100,105)
max_deptch = (5.5, 6, 6.5)


max_depth	min_split	min_bucket	cp	ganancia_promedio
5.5	1150	95	-0.1	10192000
5.5	1200	95	-0.1	10189333
5.5	1250	95	-0.1	10114000
5.5	1150	100	-0.1	10220667
5.5	1200	100	-0.1	10218000
5.5	1250	100	-0.1	10142667
5.5	1150	105	-0.1	10261333
5.5	1200	105	-0.1	10258667
5.5	1250	105	-0.1	10183333
6	1150	95	-0.1	10178667
6	1200	95	-0.1	10176000
6	1250	95	-0.1	10119333
6	1150	100	-0.1	10151333
6	1200	100	-0.1	10148667
6	1250	100	-0.1	10092000
6	1150	105	-0.1	10013333
6	1200	105	-0.1	10010667
6	1250	105	-0.1	9954000
6.5	1150	95	-0.1	10228667
6.5	1200	95	-0.1	10226000
6.5	1250	95	-0.1	10169333
6.5	1150	100	-0.1	10201333
6.5	1200	100	-0.1	10198667
6.5	1250	100	-0.1	10142000
6.5	1150	105	-0.1	10063333
6.5	1200	105	-0.1	10060667
6.5	1250	105	-0.1	10004000
