max_depth	min_split	min_bucket	cp	ganancia_promedio
6.25	1125	102.5	-0.1	10151333
6.25	1150	102.5	-0.1	10151333
6.25	1175	102.5	-0.1	10151333
6.25	1125	105	-0.1	10013333
6.25	1150	105	-0.1	10013333
6.25	1175	105	-0.1	10013333
6.25	1125	107.5	-0.1	10016000
6.25	1150	107.5	-0.1	10016000
6.25	1175	107.5	-0.1	10016000
6.5	1125	102.5	-0.1	10201333
6.5	1150	102.5	-0.1	10201333
6.5	1175	102.5	-0.1	10201333
6.5	1125	105	-0.1	10063333
6.5	1150	105	-0.1	10063333
6.5	1175	105	-0.1	10063333
6.5	1125	107.5	-0.1	10066000
6.5	1150	107.5	-0.1	10066000
6.5	1175	107.5	-0.1	10066000
6.75	1125	102.5	-0.1	10082000
6.75	1150	102.5	-0.1	10082000
6.75	1175	102.5	-0.1	10082000
6.75	1125	105	-0.1	9942667
6.75	1150	105	-0.1	9942667
6.75	1175	105	-0.1	9942667
6.75	1125	107.5	-0.1	9945333
6.75	1150	107.5	-0.1	9945333
6.75	1175	107.5	-0.1	9945333
