cp = (-0.1)
min_split = (1100,1150,1200)
min_bucket = (100,105,110)
max_deptch = (5, 6)

max_depth	min_split	min_bucket	cp	ganancia_promedio
5	1100	100	-0.1	10048667
5	1150	100	-0.1	10048667
5	1200	100	-0.1	10046000
5	1100	105	-0.1	10089333
5	1150	105	-0.1	10089333
5	1200	105	-0.1	10086667
5	1100	110	-0.1	10019333
5	1150	110	-0.1	10019333
5	1200	110	-0.1	10016667
6	1100	100	-0.1	10039333
6	1150	100	-0.1	10151333
6	1200	100	-0.1	10148667
6	1100	105	-0.1	9901333
6	1150	105	-0.1	10013333
6	1200	105	-0.1	10010667
6	1100	110	-0.1	9834667
6	1150	110	-0.1	9946667
6	1200	110	-0.1	9944000
