max_depth	min_split	min_bucket	peso_error	ganancia_promedio
4	60	20	-1	NA
4	60	20	1	9597333
4	60	20	10	8838667
4	60	20	20	8494000
4	60	20	40	8634667
4	60	20	60	8674000
4	60	20	1000	7126000
4	60	20	60000	0
4	60	30	-1	NA
4	60	30	1	9560000
4	60	30	10	8837333
4	60	30	20	8462667
4	60	30	40	8622000
4	60	30	60	8662667
4	60	30	1000	7126000
4	60	30	60000	0
4	60	50	-1	NA
4	60	50	1	9548000
4	60	50	10	8861333
4	60	50	20	8402667
4	60	50	40	8563333
4	60	50	60	8635333
4	60	50	1000	7118000
4	60	50	60000	0
4	60	200	-1	NA
4	60	200	1	9706000
4	60	200	10	8581333
4	60	200	20	8428000
4	60	200	40	8605333
4	60	200	60	8544000
4	60	200	1000	7131333
4	60	200	60000	0
4	60	500	-1	NA
4	60	500	1	9749333
4	60	500	10	8080667
4	60	500	20	8120667
4	60	500	40	8508667
4	60	500	60	8584667
4	60	500	1000	7796000
4	60	500	60000	0
4	100	20	-1	NA
4	100	20	1	9597333
4	100	20	10	8838667
4	100	20	20	8494000
4	100	20	40	8634667
4	100	20	60	8674000
4	100	20	1000	7126000
4	100	20	60000	0
4	100	30	-1	NA
4	100	30	1	9560000
4	100	30	10	8837333
4	100	30	20	8462667
4	100	30	40	8622000
4	100	30	60	8662667
4	100	30	1000	7126000
4	100	30	60000	0
4	100	50	-1	NA
4	100	50	1	9548000
4	100	50	10	8861333
4	100	50	20	8402667
4	100	50	40	8563333
4	100	50	60	8635333
4	100	50	1000	7118000
4	100	50	60000	0
4	100	200	-1	NA
4	100	200	1	9706000
4	100	200	10	8581333
4	100	200	20	8428000
4	100	200	40	8605333
4	100	200	60	8544000
4	100	200	1000	7131333
4	100	200	60000	0
4	100	500	-1	NA
4	100	500	1	9749333
4	100	500	10	8080667
4	100	500	20	8120667
4	100	500	40	8508667
4	100	500	60	8584667
4	100	500	1000	7796000
4	100	500	60000	0
4	400	20	-1	NA
4	400	20	1	9597333
4	400	20	10	8838667
4	400	20	20	8494000
4	400	20	40	8634667
4	400	20	60	8674000
4	400	20	1000	7126000
4	400	20	60000	0
4	400	30	-1	NA
4	400	30	1	9560000
4	400	30	10	8837333
4	400	30	20	8462667
4	400	30	40	8622000
4	400	30	60	8662667
4	400	30	1000	7126000
4	400	30	60000	0
4	400	50	-1	NA
4	400	50	1	9548000
4	400	50	10	8814667
4	400	50	20	8402667
4	400	50	40	8576000
4	400	50	60	8635333
4	400	50	1000	7118000
4	400	50	60000	0
4	400	200	-1	NA
4	400	200	1	9706000
4	400	200	10	8581333
4	400	200	20	8428000
4	400	200	40	8605333
4	400	200	60	8544000
4	400	200	1000	7131333
4	400	200	60000	0
4	400	500	-1	NA
4	400	500	1	9749333
4	400	500	10	8080667
4	400	500	20	8120667
4	400	500	40	8508667
4	400	500	60	8584667
4	400	500	1000	7796000
4	400	500	60000	0
4	1000	20	-1	NA
4	1000	20	1	9598000
4	1000	20	10	8838667
4	1000	20	20	8494000
4	1000	20	40	8634667
4	1000	20	60	8609333
4	1000	20	1000	7126000
4	1000	20	60000	0
4	1000	30	-1	NA
4	1000	30	1	9561333
4	1000	30	10	8837333
4	1000	30	20	8462667
4	1000	30	40	8622000
4	1000	30	60	8598000
4	1000	30	1000	7126000
4	1000	30	60000	0
4	1000	50	-1	NA
4	1000	50	1	9553333
4	1000	50	10	8814667
4	1000	50	20	8402667
4	1000	50	40	8576000
