max_depth (6, 8, 10, 12, 14)
min_split (1000,1200,1500,1800)
min_bucket (100, 200, 400, 700, 900)
peso_error (1000,2000,5000,10000,15000,20000)



max_depth	min_split	min_bucket	peso_error	ganancia_promedio
6	1000	100	1000	9164667
6	1000	100	2000	3602667
6	1000	100	5000	387333.3
6	1000	100	10000	0
6	1000	100	15000	0
6	1000	100	20000	0
6	1000	200	1000	9747333
6	1000	200	2000	3602667
6	1000	200	5000	387333.3
6	1000	200	10000	0
6	1000	200	15000	0
6	1000	200	20000	0
6	1000	400	1000	10799333
6	1000	400	2000	6188000
6	1000	400	5000	836666.7
6	1000	400	10000	0
6	1000	400	15000	0
6	1000	400	20000	0
6	1200	100	1000	9164667
6	1200	100	2000	3602667
6	1200	100	5000	387333.3
6	1200	100	10000	0
6	1200	100	15000	0
6	1200	100	20000	0
6	1200	200	1000	9747333
6	1200	200	2000	3602667
6	1200	200	5000	387333.3
6	1200	200	10000	0
6	1200	200	15000	0
6	1200	200	20000	0
6	1200	400	1000	10910667
6	1200	400	2000	6188000
6	1200	400	5000	836666.7
6	1200	400	10000	0
6	1200	400	15000	0
6	1200	400	20000	0
6	1500	100	1000	9172667
6	1500	100	2000	3602667
6	1500	100	5000	387333.3
6	1500	100	10000	0
6	1500	100	15000	0
6	1500	100	20000	0
6	1500	200	1000	9755333
6	1500	200	2000	3602667
6	1500	200	5000	387333.3
6	1500	200	10000	0
6	1500	200	15000	0
6	1500	200	20000	0
6	1500	400	1000	11026000
6	1500	400	2000	6188000
6	1500	400	5000	836666.7
6	1500	400	10000	0
6	1500	400	15000	0
6	1500	400	20000	0
6	1500	700	1000	11156000
6	1500	700	2000	10230667
6	1500	700	5000	5023333
6	1500	700	10000	0
6	1500	700	15000	0
6	1500	700	20000	0
6	1800	100	1000	9172667
6	1800	100	2000	3602667
6	1800	100	5000	387333.3
6	1800	100	10000	0
6	1800	100	15000	0
6	1800	100	20000	0
6	1800	200	1000	9755333
6	1800	200	2000	3602667
6	1800	200	5000	387333.3
6	1800	200	10000	0
6	1800	200	15000	0
6	1800	200	20000	0
6	1800	400	1000	11026000
6	1800	400	2000	6188000
6	1800	400	5000	836666.7
6	1800	400	10000	0
6	1800	400	15000	0
6	1800	400	20000	0
6	1800	700	1000	11119333
6	1800	700	2000	10230667
6	1800	700	5000	5023333
6	1800	700	10000	0
6	1800	700	15000	0
6	1800	700	20000	0
6	1800	900	1000	10716667
6	1800	900	2000	10789333
6	1800	900	5000	6161333
6	1800	900	10000	420666.7
6	1800	900	15000	420666.7
6	1800	900	20000	420666.7
