max_depth	min_split	min_bucket	peso_error	ganancia_promedio
7	1000	300	59	9692667
7	1000	400	59	9347333
7	1000	500	59	9336667
7	1800	300	59	9512000
7	1800	400	59	9037333
7	1800	500	59	9206667
7	3000	300	59	9326000
7	3000	400	59	9364000
7	3000	500	59	9384000
7	5000	300	59	9499333
7	5000	400	59	9417333
7	5000	500	59	9471333
7	10000	300	59	8842667
7	10000	400	59	8842667
7	10000	500	59	8842667
8	1000	300	59	8858667
8	1000	400	59	8872667
8	1000	500	59	9220667
8	1800	300	59	9448667
8	1800	400	59	9037333
8	1800	500	59	9206667
8	3000	300	59	9326000
8	3000	400	59	9364000
8	3000	500	59	9384000
8	5000	300	59	9499333
8	5000	400	59	9417333
8	5000	500	59	9471333
8	10000	300	59	8842667
8	10000	400	59	8842667
8	10000	500	59	8842667
