fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 203854	-0.557106466246478	4284	1111	7	5	9534000	1
20220520 203906	0.0280677205722897	2693	1183	14	5	0	2
20220520 203923	-0.324309750591055	7844	1877	10	5	7903000	3
20220520 203943	-0.513552092724421	4621	808	12	5	9626000	4
20220520 204002	-0.694800662128546	3667	1316	19	5	9068000	5
20220520 204013	-0.410260908590863	6038	636	4	5	9038000	6
20220520 204028	-0.610225865374378	1656	172	6	5	10183000	7
20220520 204046	-0.0596057004368048	5041	1566	13	5	8982000	8
20220520 204104	-0.905843479586474	5853	1776	16	5	8338000	9
20220520 204121	-0.932495969354932	6579	254	8	5	8737000	10
20220520 204152	-0.772525976557517	3107	45	19	5	8659000	11
20220520 204213	-0.142769005676382	7386	580	16	5	8075000	12
20220520 204230	-0.0198089881334453	3680	506	7	5	9871000	13
20220520 204254	-0.579171054926701	6903	308	17	5	8467000	14
20220520 204312	-0.952541507483693	4274	1111	8	5	9534000	15
20220520 204341	-0.477141555957496	6161	32	15	5	8508000	16
20220520 204414	-0.829965120184577	3813	98	18	5	9425000	17
20220520 204426	-0.921774949950591	1368	1	4	5	8261000	18
20220520 204437	0.0955963030838765	1665	98	20	5	0	19
20220520 204451	-0.0679879286874982	5229	580	5	5	9348000	20
20220520 204510	-0.489640481012163	3775	64	7	5	9290000	21
20220520 204521	-0.502096941218022	1960	469	3	5	8825000	22
20220520 204536	-0.711236696764515	5246	976	5	5	9583000	23
20220520 204547	-0.671883372017506	4604	153	3	5	8790000	24
20220520 204605	-0.0871410687172511	5333	1448	9	5	8982000	25
20220520 204615	-0.0745107862606337	4103	233	3	5	8790000	26
20220520 204639	-0.999723129558179	4662	497	20	5	9402000	27
20220520 204657	-0.523557075172952	305	152	6	5	9553000	28
20220520 204715	-0.703044968186732	5176	1999	12	5	8550000	29
20220520 204732	-0.719176632288918	2051	1017	6	5	10070000	30
20220520 204751	-0.611614907675396	4433	1493	8	5	9164000	31
20220520 204807	-0.174943546934816	1608	526	6	5	10497000	32
20220520 204830	-0.661399806257909	1595	578	10	5	10457000	33
20220520 204851	-0.313220469348118	3493	503	9	5	9704000	34
20220520 204911	-0.605976108388831	1392	695	8	5	9509000	35
20220520 204936	-0.747172284611887	1146	212	11	5	9895000	36
20220520 205000	-0.813758471838617	3334	608	14	5	9727000	37
20220520 205010	-0.144050387718031	7452	1567	3	5	8039000	38
20220520 205032	-0.850599851678795	2400	950	20	5	10105000	39
20220520 205053	-0.747373154382713	3714	1013	12	5	9922000	40
20220520 205119	-0.656568311739684	1142	558	20	5	10118000	41
20220520 205130	-0.154505913506011	3219	397	3	5	8825000	42
20220520 205154	-0.379881496173704	1188	585	11	5	10262000	43
20220520 205214	-0.729646365907284	7951	855	20	5	7903000	44
20220520 205236	-0.998268008510796	1781	888	11	5	10012000	45
