,fecha,num.trees,max.depth,min.node.size,mtry,xval_folds,ganancia,iteracion
20220523,20839,972,11,169,38,5,10821000,1
20220523,22134,1431,28,324,8,5,11673000,2
20220523,24957,2372,15,357,12,5,11700000,3
20220523,32402,1881,6,305,43,5,10812000,4
20220523,35327,1109,13,117,30,5,10709000,5
20220523,41454,1743,9,480,18,5,11549000,6
20220523,50829,2072,24,393,24,5,10638000,7
20220523,52338,262,25,272,50,5,9169000,8
20220523,53524,757,17,197,15,5,11513000,9
20220523,63901,2036,30,91,28,5,9687000,10
20220523,65159,655,7,237,39,5,10912000,11
20220523,65844,161,22,40,35,5,8753000,12
20220523,70918,2201,3,154,22,5,10255000,13
20220523,71459,1479,19,468,2,5,10804000,14
20220523,71527,447,1,28,5,5,0,15
20220523,185950,648,22,342,16,5,11340000,16
20220523,193910,1278,18,299,29,5,10562000,17
20220523,195506,1379,4,22,38,5,10635000,18
20220523,201348,405,21,499,39,5,10167000,19
20220523,203537,1872,13,168,11,5,11359000,20
20220523,211737,1676,12,374,28,5,10985000,21
20220523,220354,778,30,155,47,5,8865000,22
20220523,221751,889,8,390,24,5,11032000,23
20220523,222023,2252,3,108,2,5,-10000,24
20220523,224108,1017,15,252,20,5,11011000,25
20220524,1952,1992,25,214,43,5,9458000,26
20220524,2446,188,10,83,34,5,10947000,27
20220524,4802,2391,17,438,9,5,11603000,28
20220524,5942,1559,27,52,6,5,11291000,29
20220524,10658,2183,1,237,46,5,6231000,30
20220524,11357,289,24,441,22,5,10878000,31
20220524,13852,2061,25,227,11,5,11334000,32
20220524,20444,1031,8,1,43,5,10871000,33
20220524,22431,1768,19,1,10,5,10516000,34
20220524,23916,1252,14,500,12,5,11671000,35
20220524,24344,804,25,500,4,5,11654000,36
20220524,25556,1223,29,500,9,5,11686000,37
20220524,25706,100,27,342,9,5,11404000,38
20220524,31242,1582,22,500,9,5,11551000,39
20220524,32228,2399,28,434,2,5,10884000,40
20220524,35835,2500,14,459,15,5,11596000,41
20220524,41328,1139,26,500,12,5,11185000,42
20220524,41837,787,30,260,5,5,11603000,43
20220524,42440,828,23,322,6,5,11963000,44
20220524,42523,100,20,458,4,5,10932000,45
20220524,43447,504,7,483,36,5,10892000,46
20220524,45123,969,7,1,33,5,11069000,47
20220524,52103,1273,30,174,21,5,10528000,48
20220524,53048,1192,24,335,7,5,11789000,49
20220524,53256,490,24,167,2,5,10823000,50
20220524,53847,799,28,424,6,5,11785000,51
20220524,60226,1947,15,337,12,5,11396000,52
20220524,60730,351,12,500,16,5,11379000,53
20220524,62957,2500,13,499,9,5,11500000,54
