fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220523 020839	972	11	169	38	5	10821000	1
20220523 022134	1431	28	324	8	5	11673000	2
20220523 024957	2372	15	357	12	5	11700000	3
20220523 032402	1881	6	305	43	5	10812000	4
20220523 035327	1109	13	117	30	5	10709000	5
20220523 041454	1743	9	480	18	5	11549000	6
20220523 050829	2072	24	393	24	5	10638000	7
20220523 052338	262	25	272	50	5	9169000	8
20220523 053524	757	17	197	15	5	11513000	9
20220523 063901	2036	30	91	28	5	9687000	10
20220523 065159	655	7	237	39	5	10912000	11
20220523 065844	161	22	40	35	5	8753000	12
20220523 070918	2201	3	154	22	5	10255000	13
20220523 071459	1479	19	468	2	5	10804000	14
20220523 071527	447	1	28	5	5	0	15
20220523 185950	648	22	342	16	5	11340000	16
20220523 193910	1278	18	299	29	5	10562000	17
20220523 195506	1379	4	22	38	5	10635000	18
20220523 201348	405	21	499	39	5	10167000	19
20220523 203537	1872	13	168	11	5	11359000	20
20220523 211737	1676	12	374	28	5	10985000	21
20220523 220354	778	30	155	47	5	8865000	22
20220523 221751	889	8	390	24	5	11032000	23
20220523 222023	2252	3	108	2	5	-10000	24
20220523 224108	1017	15	252	20	5	11011000	25
20220524 001952	1992	25	214	43	5	9458000	26
20220524 002446	188	10	83	34	5	10947000	27
20220524 004802	2391	17	438	9	5	11603000	28
20220524 005942	1559	27	52	6	5	11291000	29
20220524 010658	2183	1	237	46	5	6231000	30
20220524 011357	289	24	441	22	5	10878000	31
20220524 013852	2061	25	227	11	5	11334000	32
20220524 020444	1031	8	1	43	5	10871000	33
20220524 022431	1768	19	1	10	5	10516000	34
20220524 023916	1252	14	500	12	5	11671000	35
20220524 024344	804	25	500	4	5	11654000	36
20220524 025556	1223	29	500	9	5	11686000	37
20220524 025706	100	27	342	9	5	11404000	38
20220524 031242	1582	22	500	9	5	11551000	39
20220524 032228	2399	28	434	2	5	10884000	40
20220524 035835	2500	14	459	15	5	11596000	41
20220524 041328	1139	26	500	12	5	11185000	42
20220524 041837	787	30	260	5	5	11603000	43
20220524 042440	828	23	322	6	5	11963000	44
20220524 042523	100	20	458	4	5	10932000	45
20220524 043447	504	7	483	36	5	10892000	46
20220524 045123	969	7	1	33	5	11069000	47
20220524 052103	1273	30	174	21	5	10528000	48
20220524 053048	1192	24	335	7	5	11789000	49
20220524 053256	490	24	167	2	5	10823000	50
20220524 053847	799	28	424	6	5	11785000	51
20220524 060226	1947	15	337	12	5	11396000	52
20220524 060730	351	12	500	16	5	11379000	53
20220524 062957	2500	13	499	9	5	11500000	54
20220524 065740	2500	30	11	9	5	10715000	55
20220524 070309	676	23	500	7	5	11970000	56
20220524 070702	527	30	500	6	5	11228000	57
20220524 071610	977	28	247	8	5	11494000	58
20220524 072659	1494	29	363	6	5	11721000	59
20220524 074448	2493	23	392	6	5	11733000	60
20220524 075112	783	23	415	7	5	11953000	61
20220524 091204	2486	12	1	38	5	10421000	62
20220524 093733	2497	28	500	9	5	11652000	63
20220524 094005	236	14	499	10	5	11318000	64
20220524 110746	2499	30	500	30	5	10531000	65
20220524 121140	2500	23	295	21	5	10805000	66
20220524 135227	100	23	1	30	5	6060000	67
20220524 143608	2225	30	500	18	5	11071000	68
