fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220530 035719	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	70	TRUE	999007	0.107301267149742	0.714272244321182	5673	726	0.0110601884075246	12909000	1
20220530 035734	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	48	TRUE	999007	0.138974451898132	0.570821671169251	3180	631	0.0424237940504099	8817000	2
20220530 035747	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	49	TRUE	999007	0.236239158202778	0.501543885283172	4194	361	0.0327278152918249	9941000	3
20220530 035759	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	40	TRUE	999007	0.0943947457976173	0.603973094448447	7407	567	0.02021552597483	12823000	4
20220530 035809	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	39	TRUE	999007	0.148269509503385	0.779807956330478	3472	200	0.0261604341920853	11351000	5
20220530 035829	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	66	TRUE	999007	0.0803933570025256	0.473629341376945	1917	714	0.0304971485607287	10768000	6
20220530 035838	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	32	TRUE	999007	0.272602828143514	0.234433476123959	7741	591	0.0232543793327447	12449000	7
20220530 035851	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	47	TRUE	999007	0.207931338140392	0.28854241755791	2702	429	0.0408769174988265	8671000	8
20220530 035924	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	277	TRUE	999007	0.0229365044407314	0.728097850037739	6219	242	0.0289228388869863	11134000	9
20220530 035934	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	14	TRUE	999007	0.214309674313525	0.268696318911389	1229	502	0.0127164760429878	11848000	10
20220530 035948	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	76	TRUE	999007	0.194094408220146	0.668714622622356	2183	800	0.00931159617418113	12124000	11
20220530 035958	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	25	TRUE	999007	0.257650794517365	0.525744078494608	6778	927	0.0348797900650728	10338000	12
20220530 040038	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	196	TRUE	999007	0.0392971283659572	0.388905022339895	3717	152	0.0456883311635465	8231000	13
20220530 040045	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	18	TRUE	999007	0.289871598801343	0.888183392100036	4543	93	0.0151245594218684	12133000	14
20220530 040057	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	14	TRUE	999007	0.250330228853971	0.32556218595244	948	984	0.0365641354651113	7851000	15
20220530 040122	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	219	TRUE	999007	0.0337323910922278	0.997577079106122	6810	271	0.048233504772846	7792000	16
20220530 040148	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	126	TRUE	999007	0.0666158391358331	0.947677234252915	5171	849	0.0175479837348879	13329000	17
20220530 040155	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	44	TRUE	999007	0.175210789195262	0.866435037050396	6	18	0.0379832277675935	5695000	18
20220530 040214	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	31	TRUE	999007	0.120908324638731	0.801345122605562	588	909	0.0470932258622876	7052000	19
20220530 040225	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	32	TRUE	999007	0.161263912969385	0.438875167174265	5503	404	0.0214153807823701	12964000	20
20220530 040257	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	162	TRUE	999007	0.0267280307851676	0.207490392511278	4742	812	0.0180779725419384	13490000	21
20220530 040425	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	368	TRUE	999007	0.0100740376359783	0.537424869114221	4172	741	0.0170394488208772	13781000	22
20220530 040552	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	403	TRUE	999007	0.0100006954813622	0.565723053135379	4515	1024	0.0170149919627463	13708000	23
20220530 040804	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	857	TRUE	999007	0.0100788145529723	0.541076511891472	4460	845	0.0199673864764588	12959000	24
20220530 040824	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	41	TRUE	999007	0.0836530965770324	0.474474567040964	4935	819	0.0161497537190173	13965000	25
20220530 040954	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	428	TRUE	999007	0.0101108731896213	0.425419758137234	5444	830	0.0152594727116337	13389000	26
20220530 041011	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	66	TRUE	999007	0.130323340891921	0.538990550179358	4217	780	0.0169294217575935	12987000	27
20220530 041036	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	60	TRUE	999007	0.0583489004123007	0.466491484060082	3305	353	0.0160365853496549	13894000	28
20220530 041101	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	86	TRUE	999007	0.0524357985742011	0.513901445993062	2623	1008	0.0158592654812413	14325000	29
20220530 041234	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	28	TRUE	999007	0.0333899549336668	0.614120716443169	23	1023	0.00914329137561105	7477000	30
20220530 041258	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	90	TRUE	999007	0.0554089228703079	0.406717145862762	3279	994	0.0157454506153968	14113000	31
20220530 041316	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	48	TRUE	999007	0.0546938013578699	0.708947624114831	1557	819	0.0160885651968088	13838000	32
20220530 041325	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	42	TRUE	999007	0.199260598239529	0.976867027555977	7994	333	0.0109026529990355	12830000	33
20220530 041333	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	20	TRUE	999007	0.185433293454965	0.863919321644899	6877	1024	0.0130455228867511	13283000	34
