,fecha,objective,metric,first_metric_only,boost_from_average,feature_pre_filter,verbosity,seed,max_depth,min_gain_to_split,lambda_l1,lambda_l2,max_bin,num_iterations,force_row_wise,learning_rate,feature_fraction,min_data_in_leaf,num_leaves,prob_corte,ganancia,iteracion
20220522,181228,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,55,TRUE,"0,067902582481853","0,822977572930977",1603,433,"0,047359839440226",8165000,1
20220522,181255,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,21,TRUE,"0,222807267547119","0,588682651529089",3843,668,"0,025105007312474",12113000,2
20220522,181326,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,35,TRUE,"0,260918522758875","0,355004550069571",5410,917,"0,019036234878392",12883000,3
20220522,181415,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,100,TRUE,"0,109431917265989","0,736977459993214",4966,510,"0,008974101762093",11821000,4
20220522,181446,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,27,TRUE,"0,175656293308595","0,612898837113753",3433,197,"0,029160059993834",11771000,5
20220522,181515,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,28,TRUE,"0,187448265851592","0,697021176293492",3197,743,"0,034328984207241",10467000,6
20220522,181557,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,63,TRUE,"0,08732051211514","0,267596267238259",7604,613,"0,021826728825302",12698000,7
20220522,181650,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,52,TRUE,"0,073150282302522","0,38086701489985",2111,524,"0,043609621510162",9005000,8
20220522,181715,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,17,TRUE,"0,280932717137854","0,440582149028778",6431,253,"0,029545903166581",11502000,9
20220522,181746,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,50,TRUE,"0,153067659467226","0,765518574174494",5935,275,"0,037851813253171",10245000,10
20220522,181818,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,20,TRUE,"0,158021625578403","0,494702687570825",4267,65,"0,011874835508934",12768000,11
20220522,181854,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,34,TRUE,"0,200847621335066","0,222716274764389",933,853,"0,032383026350969",9504000,12
20220522,181918,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,24,TRUE,"0,298420544812339","0,909808382568881",4412,780,"0,02299816916493",11903000,13
20220522,181940,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,69,TRUE,"0,238890182403731","0,553252125596628",4,95,"0,041312804981135",2910000,14
20220522,182259,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,522,TRUE,"0,014611934957909","0,952147117033601",7030,685,"0,035557185361298",10874000,15
20220522,182340,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,34,TRUE,"0,116746183885611","0,67839965660125",1582,1011,"0,048099299176344",8543000,16
20220522,182601,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,120,TRUE,"0,027660725029535","0,995547753255814",534,320,"0,014046066429971",13170000,17
20220522,182636,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,52,TRUE,"0,139968721403508","0,296032486818731",6097,382,"0,045758546123398",8287000,18
20220522,182656,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,20,TRUE,"0,24951448782743","0,86486362259835",7272,165,"0,017401752553027",12842000,19
20220522,182830,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,153,TRUE,"0,050041466544266","0,425266976477578",2723,955,"0,016651067258984",13271000,20
20220522,183222,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,345,TRUE,"0,010518367602555","0,714428094041659",2946,175,"0,019229400045686",13009000,21
20220522,183320,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,98,TRUE,"0,070571059342392","0,200229431252407",1964,411,"0,016070210033732",13155000,22
20220522,183417,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,57,TRUE,"0,072181774377036","0,999634800158549",1740,825,"0,017537755969033",13542000,23
20220522,183454,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,37,TRUE,"0,119228980176591","0,999797708647513",2520,298,"0,016069265028807",13075000,24
20220522,183526,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,39,TRUE,"0,146170961018533","0,276501925348654",5691,21,"0,019545626366863",13046000,25
20220522,184119,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,460,TRUE,"0,010225380561409","0,889357598328557",984,1024,"0,016265124007877",13627000,26
20220522,184208,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,27,TRUE,"0,087127824851504","0,702229772237875",1011,1007,"0,013575186131666",13110000,27
20220522,184440,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,305,TRUE,"0,010021033579524","0,997632132283648",1649,1024,"0,022585296497837",12815000,28
20220522,184744,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,494,TRUE,"0,010424826695479","0,993057314795386",1483,784,"0,01491638652165",13614000,29
20220522,184949,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,240,TRUE,"0,014235210447843","0,816262230345895",1181,749,"0,01691008322237",13389000,30
20220522,185241,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,59,TRUE,"0,012186987728796","0,999991722881302",12,1002,"0,014797741820647",2970000,31
20220522,185342,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,165,TRUE,"0,040873883294523","0,36345824409457",2725,502,"0,016462271459833",13818000,32
20220522,185417,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,67,TRUE,"0,079013675166247","0,425590155188573",2564,681,"0,015126846585923",13777000,33
20220522,185446,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,63,TRUE,"0,066317510324762","0,981801114577606",2689,658,"0,017859618669805",13234000,34
20220522,185527,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,63,TRUE,"0,054437476947601","0,912189031318366",1293,1001,"0,016685830198759",13071000,35
20220522,185708,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,377,TRUE,"0,056675363555361","0,484005057039782",2629,504,"0,008729495507624",12716000,36
20220522,185737,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,61,TRUE,"0,063431421888763","0,203069288214869",2579,476,"0,021246058841376",12733000,37
20220522,185758,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,33,TRUE,"0,165999465713064","0,352200727871119",2809,675,"0,015309731753603",13202000,38
20220522,185956,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,337,TRUE,"0,015664919853915","0,772197360031971",1985,753,"0,01351418953403",13693000,39
20220522,190210,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,381,TRUE,"0,017229129899244","0,36477751977134",1799,681,"0,011644099912266",13404000,40
20220522,190324,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,164,TRUE,"0,033197623961594","0,487052824069515",2330,779,"0,015070532318106",13929000,41
20220522,190350,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,33,TRUE,"0,107852063394189","0,59739069027542",2203,626,"0,013831995349667",13261000,42
20220522,190430,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,96,TRUE,"0,052811538067248","0,772270832053433",2458,871,"0,014707074448449",13384000,43
20220522,190511,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,129,TRUE,"0,061780761373162","0,209148030902585",1935,898,"0,015736119390732",13159000,44
20220522,190758,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,284,TRUE,"0,01107702779567","0,857639050108343",872,471,"0,013676993173404",13706000,45
20220522,191148,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,511,TRUE,"0,011012387575666","0,916058793850639",754,288,"0,009609520639616",13260000,46
20220522,191208,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,28,TRUE,"0,176070207264431","0,401624782476185",2744,237,"0,016078019175212",12751000,47
20220522,191220,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,24,TRUE,"0,289801007561854","0,842907668533778",7998,847,"0,014725413723773",12643000,48
20220522,191355,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,59,TRUE,"0,014365906323054","0,998831303171648",955,711,"0,011250068165975",13098000,49
20220522,191613,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,243,TRUE,"0,012689906879474","0,997341444958519",1058,378,"0,015700650739822",13297000,50
20220522,192102,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,891,TRUE,"0,010090462467578","0,839897465135495",1652,890,"0,009215662031324",12967000,51
20220522,192337,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,421,TRUE,"0,011438271099843","0,738897691196643",2392,636,"0,016232762263398",13780000,52
