fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 130323	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.181382093399647	0.433185379346833	3597	368	0.0125768987141782	13283000	1
20220521 130355	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.164779607457225	0.598078338764608	2732	790	0.0400031303516395	9306000	2
20220521 130407	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.231085727313533	0.782496022833511	4718	298	0.0148426277941326	12289000	3
20220521 130434	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	0.266424710173509	0.939199375091121	5098	498	0.0441854615171906	8531000	4
20220521 130509	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.127917205719277	0.890044291988015	3977	195	0.0460689007421024	8259000	5
20220521 130556	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	0.140764207099215	0.483768393779174	706	649	0.0337865586014232	9933000	6
20220521 130647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.0840779079397907	0.216457922738045	6614	565	0.0288242457230808	11941000	7
20220521 130804	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	99	TRUE	0.0511204117721645	0.694165693400428	1791	740	0.0183646724700035	13613000	8
20220521 130847	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	0.099015003116685	0.449213681798428	4085	1020	0.0332329620185192	10953000	9
20220521 130909	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	11	TRUE	0.242363022546167	0.809033366031945	5513	678	0.0209254534788973	12083000	10
20220521 130939	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	40	TRUE	0.218000219545793	0.278981453040615	7187	825	0.0269347920790703	12069000	11
20220521 131013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.117479977053707	0.662114388160407	5645	125	0.0105403249413939	12653000	12
20220521 131054	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.196427003909484	0.84670233936049	1450	440	0.0380306906091088	8581000	13
20220521 131212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	166	TRUE	0.0665172803357709	0.603852749168873	6248	384	0.0489562917728714	7875000	14
20220521 131553	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	298	TRUE	0.0126525775527116	0.994999952558428	2010	248	0.0232967192311965	12765000	15
20220521 131620	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.210183054843801	0.349122508326545	261	578	0.00979936569444059	9434000	16
20220521 131633	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	12	TRUE	0.29938879098813	0.371696348795667	7615	39	0.0295553837044281	11330000	17
20220521 131647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.271439047756023	0.524374007387087	2909	920	0.0422862679280418	9628000	18
20220521 131717	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	101	TRUE	0.034468017492909	0.732394294654951	7420	970	0.0200068018510744	12673000	19
20220521 131824	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.0785187885895138	0.281798742571846	1186	115	0.0371061366483142	9944000	20
20220521 132319	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	482	TRUE	0.0121954665879844	0.415283662437544	3414	629	0.0176012018663023	13459000	21
20220521 132428	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	102	TRUE	0.0589997111326644	0.682267588705803	2992	841	0.0186496249395827	13552000	22
20220521 132608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	122	TRUE	0.0410372263324758	0.583088011898652	2452	222	0.0187557313819635	13748000	23
20220521 133140	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	572	TRUE	0.0100211332035546	0.61170742383631	3025	254	0.0138096073191911	13881000	24
20220521 133641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	492	TRUE	0.0101028520398027	0.678809965824984	2490	432	0.0163244223819033	14076000	25
20220521 134127	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	424	TRUE	0.0101043152591216	0.856406220743287	2317	463	0.016085131876132	13320000	26
20220521 134618	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	401	TRUE	0.0103669847058163	0.585332352819014	3956	423	0.0159898764615007	13621000	27
20220521 134748	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	213	TRUE	0.0596813193441367	0.273622994184602	7548	386	0.013510051720544	13299000	28
20220521 135314	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	487	TRUE	0.0101687271773163	0.615939344691276	2496	515	0.01562850701254	13991000	29
20220521 135853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	524	TRUE	0.0100159330847629	0.659248040950077	2337	309	0.0164793673251221	13456000	30
20220521 140249	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	341	TRUE	0.0113879515999339	0.692704229755199	3435	583	0.0135849545907769	13768000	31
20220521 140617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	318	TRUE	0.0166877862258762	0.660207687102211	2323	457	0.0192101698074791	13112000	32
20220521 140952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	302	TRUE	0.0161845196423335	0.682927584443591	2261	799	0.0164723646306272	13629000	33
20220521 141105	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.0722010729248146	0.669517843750701	591	510	0.0163830742687795	13064000	34
20220521 141153	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.100732936076968	0.706947533048997	2616	445	0.0161210113658743	13327000	35
20220521 141621	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	517	TRUE	0.0100135463727695	0.698666099302669	6807	450	0.0147529182071108	13126000	36
20220521 142347	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	623	TRUE	0.0100220082725798	0.492204372631895	2568	424	0.013366066829053	13884000	37
20220521 142431	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	150	TRUE	0.0354746029620209	0.349165415347086	3583	17	0.0128091957282542	13467000	38
20220521 143036	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	648	TRUE	0.0104539239409786	0.699463395064324	3055	547	0.0175450799936127	13749000	39
20220521 143250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	232	TRUE	0.0396678767879582	0.285018453195736	3062	66	0.0187584390826905	13316000	40
20220521 143405	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0613068579226944	0.691968839979323	2954	283	0.0127080989434316	13702000	41
20220521 143437	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.0611048491296495	0.523087321657063	2826	20	0.022059923255191	12897000	42
20220521 143514	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.283872729141117	0.498618779153684	2865	47	0.0188388664686738	12955000	43
20220521 143954	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	461	TRUE	0.0181151373918921	0.595205225176919	2564	952	0.023449239459714	12501000	44
20220522 134916	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	159	TRUE	0.0314907823895624	0.514529979023035	6383	506	0.0184995115525041	13040000	45
20220522 134946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	68	TRUE	0.0796597906503317	0.521431011119415	2535	18	0.0221341744487721	13093000	46
20220522 135004	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.21063064006287	0.53214891682642	2640	20	0.0188229039724774	12904000	47
20220522 135253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	159	TRUE	0.0262821587254046	0.541789024924394	2697	916	0.023251405648772	12599000	48
20220522 135510	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	225	TRUE	0.0376253461470862	0.587962224199536	4972	168	0.0249648848126089	12477000	49
20220522 135547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.153190554060795	0.515418167699589	7990	32	0.0127064874243882	12610000	50
20220522 140126	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	833	TRUE	0.0104886776579248	0.200923099719189	2575	369	0.0138523044811651	13663000	51
20220522 140740	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1028	TRUE	0.0105345980013439	0.20094513299555	4993	227	0.0122165915840039	13351000	52
20220522 140851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.0577114787336757	0.202838384471063	4690	1021	0.0185324883967011	13228000	53
20220522 140922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.216898252550593	0.200559457811878	2484	240	0.0231809720482813	12338000	54
20220522 140951	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.292026190829432	0.201175166668979	3565	153	0.013312526395065	12088000	55
20220522 141022	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	13	TRUE	0.273665864067378	0.429706158339966	2832	1019	0.0184930684287648	12709000	56
20220522 141101	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.112586153066349	0.201929856738877	8000	969	0.0217829078236197	13040000	57
20220522 141537	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	579	TRUE	0.0138573302283029	0.344015592538879	7988	166	0.0214784521597703	12916000	58
20220522 141705	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	455	TRUE	0.010817538022429	0.685125890907861	2586	27	0.0186359810759435	13470000	59
20220522 141729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.271773090196956	0.942037643094844	7963	16	0.0233389624951275	12327000	60
20220522 141815	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	83	TRUE	0.105521374898359	0.999814368072812	7840	978	0.0245354817270005	12213000	61
20220522 142316	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	344	TRUE	0.0113915094189963	0.559342451479395	2119	1005	0.0182347966235678	13353000	62
20220522 142330	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	133	TRUE	0.135555668999626	0.999661330109337	167	20	0.0267531936018531	7349000	63
20220522 142636	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	506	TRUE	0.0151976446737234	0.668713254999584	7907	253	0.0231314310629011	12667000	64
20220522 143053	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	646	TRUE	0.0102878531008939	0.200300286878078	7359	744	0.0245594926567622	12540000	65
20220522 143547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	683	TRUE	0.0103082294654767	0.316213236083749	3003	710	0.0143818749721963	13808000	66
