fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220530 040928	0	0	0	1	auto	depthwise	256	0	1	0.256188121048151	0.704557411083952	5	13	0.0231374830230682	5	9870000	1
20220530 041519	0	0	0	1	auto	depthwise	256	0	1	0.0885715797946323	0.672321257181466	6	8	0.0145201126622851	49	13394000	2
20220530 041834	0	0	0	1	auto	depthwise	256	0	1	0.209753254552605	0.573236431889236	4	11	0.0340096343963523	9	8285000	3
20220530 042408	0	0	0	1	auto	depthwise	256	0	1	0.151250351166469	0.546479452718049	3	24	0.036005506409371	15	7968000	4
20220530 042911	0	0	0	1	auto	depthwise	256	0	1	0.164668884955114	0.637296899305656	8	17	0.0418732443402405	26	8538000	5
20220530 043204	0	0	0	1	auto	depthwise	256	0	1	0.181592599101947	0.32856102462858	7	27	0.0264218193808726	14	10196000	6
20220530 044544	0	0	0	1	auto	depthwise	256	0	1	0.0728821955611929	0.846663434552029	2	18	0.0410911462429795	56	7451000	7
20220530 045124	0	0	0	1	auto	depthwise	256	0	1	0.132450617927127	0.757874327544123	3	10	0.0202372713324924	35	10990000	8
20220530 045318	0	0	0	1	auto	depthwise	256	0	1	0.216014208912035	0.245333265475929	7	13	0.0388225915521616	19	8216000	9
20220530 045633	0	0	0	1	auto	depthwise	256	0	1	0.117011639263714	0.289428586382419	9	28	0.0471634174954185	29	7408000	10
20220530 045832	0	0	0	1	auto	depthwise	256	0	1	0.237646095985547	0.490342310322449	1	5	0.0297404774547128	36	9368000	11
20220530 050457	0	0	0	1	auto	depthwise	256	0	1	0.0513815640981775	0.367948164297268	9	22	0.0222100154545236	57	12077000	12
20220530 050702	0	0	0	1	auto	depthwise	256	0	1	0.279038337603793	0.962444571172819	5	3	0.0186578622296414	38	11212000	13
20220530 051207	0	0	0	1	auto	depthwise	256	0	1	0.195132478605723	0.796101084547117	10	25	0.0287882515748303	11	10664000	14
20220530 055154	0	0	0	1	auto	depthwise	256	0	1	0.0105129944332875	0.461290473062545	2	20	0.049655721213882	286	5806000	15
20220530 061809	0	0	0	1	auto	depthwise	256	0	1	0.0246975878459634	0.908007127633318	0	15	0.011683161832237	75	4707000	16
20220530 062000	0	0	0	1	auto	depthwise	256	0	1	0.259221185356844	0.40273960406892	10	7	0.0103708587848814	26	11890000	17
20220530 062644	0	0	0	1	auto	depthwise	256	0	1	0.054456481829402	0.813315999442711	8	4	0.0314184816365014	176	10704000	18
20220530 062952	0	0	0	1	auto	depthwise	256	0	1	0.299236853676033	0.933804176608101	0	30	0.0452528819621269	1	1589000	19
20220530 063335	0	0	0	1	auto	depthwise	256	0	1	0.101127490988816	0.225928685329854	1	23	0.0162089011937496	22	9235000	20
20220530 063522	0	0	0	1	auto	depthwise	256	0	1	0.123582914144828	0.572807527442002	8	2	0.0140183137151485	92	13101000	21
20220530 063659	0	0	0	1	auto	depthwise	256	0	1	0.0670388598569849	0.295363617174362	6	2	0.00834931723264035	137	11687000	22
20220530 064416	0	0	0	1	auto	depthwise	256	0	1	0.104777334070129	0.978779564818729	9	15	0.0145974118464782	15	12836000	23
20220530 064834	0	0	0	1	auto	depthwise	256	0	1	0.112516564745384	0.605635158872365	7	9	0.0160490162674295	32	12417000	24
20220530 065921	0	0	0	1	auto	depthwise	256	0	1	0.0253267905271424	0.998225994788236	6	2	0.0136099087899697	537	13336000	25
20220530 070549	0	0	0	1	auto	depthwise	256	0	1	0.0351697908879676	0.697396989927409	9	2	0.0137991186695167	426	13317000	26
20220530 070909	0	0	0	1	auto	depthwise	256	0	1	0.0839094581813206	0.801644988873928	6	2	0.0142003758850854	176	13165000	27
20220530 075803	0	0	0	1	auto	depthwise	256	0	1	0.0101920243017061	0.882331418589559	6	22	0.0131424914495877	116	13160000	28
20220530 083717	0	0	0	1	auto	depthwise	256	0	1	0.0100525956340561	0.70316767419946	6	9	0.0143312163966818	489	13752000	29
20220530 091005	0	0	0	1	auto	depthwise	256	0	1	0.0100439250721143	0.642582496526822	5	8	0.0141473483519307	467	13687000	30
20220530 094309	0	0	0	1	auto	depthwise	256	0	1	0.0101413059615526	0.621905945153232	8	12	0.0126841486891201	300	13748000	31
20220530 101809	0	0	0	1	auto	depthwise	256	0	1	0.0101381873550287	0.453795113996679	9	29	0.0130326080430029	370	13868000	32
20220530 104217	0	0	0	1	auto	depthwise	256	0	1	0.0100071931192305	0.312243715918823	9	18	0.0133647713300725	387	13674000	33
20220530 110708	0	0	0	1	auto	depthwise	256	0	1	0.0108429981675885	0.413237520432731	8	30	0.0138113488980205	164	13520000	34
20220530 113931	0	0	0	1	auto	depthwise	256	0	1	0.0100498143948671	0.551066908184433	9	23	0.0132116133989566	192	13677000	35
20220530 114830	0	0	0	1	auto	depthwise	256	0	1	0.0342777878436313	0.338961301234841	10	30	0.0128229326143517	120	13704000	36
20220530 121212	0	0	0	1	auto	depthwise	256	0	1	0.0102298980330427	0.44150979976133	6	9	0.0133513574329445	391	13864000	37
20220530 121504	0	0	0	1	auto	depthwise	256	0	1	0.12692554604347	0.241285671301859	9	30	0.0123691609025208	30	12485000	38
20220530 124256	0	0	0	1	auto	depthwise	256	0	1	0.0100155091810007	0.450124236323262	10	30	0.0140327063446775	237	13756000	39
20220530 131157	0	0	0	1	auto	depthwise	256	0	1	0.0100568701862188	0.453645426186075	10	30	0.0106808865775782	270	13718000	40
20220530 133750	0	0	0	1	auto	depthwise	256	0	1	0.0101093120809426	0.439989788774168	9	9	0.0128150313906635	521	13899000	41
20220530 135205	0	0	0	1	auto	depthwise	256	0	1	0.0100626727748635	0.433692071570731	8	7	0.0132545588634175	150	13789000	42
20220530 142005	0	0	0	1	auto	depthwise	256	0	1	0.0101583211960209	0.445576122557267	10	13	0.0126520570457252	414	13916000	43
20220530 144700	0	0	0	1	auto	depthwise	256	0	1	0.0100960178881147	0.345910145289223	5	30	0.0140915128803041	173	13543000	44
20220530 151752	0	0	0	1	auto	depthwise	256	0	1	0.0100480424628573	0.441047653246039	10	27	0.0126770279161066	335	14141000	45
20220530 161700	0	0	0	1	auto	depthwise	256	0	1	0.0100052273357076	0.997053822738323	10	28	0.0122567629084119	247	13603000	46
20220530 162835	0	0	0	1	auto	depthwise	256	0	1	0.0101956677810879	0.201230017812568	5	7	0.0190379436082433	396	13318000	47
20220530 170142	0	0	0	1	auto	depthwise	256	0	1	0.0100547410297869	0.996306599596271	10	8	0.0119216206691777	193	13780000	48
20220530 171030	0	0	0	1	auto	depthwise	256	0	1	0.0101172613106386	0.20190020284424	10	2	0.026719498501503	1264	12100000	49
20220530 172558	0	0	0	1	auto	depthwise	256	0	1	0.0100185125884973	0.200612733483392	10	30	0.0303599266735995	304	10271000	50
20220530 173927	0	0	0	1	auto	depthwise	256	0	1	0.0133808970404491	0.205928390670602	5	10	0.0143266702152167	402	13386000	51
20220530 174702	0	0	0	1	auto	depthwise	256	0	1	0.0106665060713792	0.20020854267953	3	2	0.0261428883258086	1010	12150000	52
20220530 182355	0	0	0	1	auto	depthwise	256	0	1	0.0100510370549315	0.396667497625822	5	28	0.0191456075299508	309	12268000	53
20220530 190214	0	0	0	1	auto	depthwise	256	0	1	0.0101362171063042	0.999044914134424	10	5	0.0212784752558825	706	13020000	54
20220530 192751	0	0	0	1	auto	depthwise	256	0	1	0.0102783042301922	0.319161080129215	6	28	0.0119895624381419	224	13367000	55
20220530 201903	0	0	0	1	auto	depthwise	256	0	1	0.0111765243430939	0.89830986100399	10	15	0.00834526777475712	381	12438000	56
20220530 202631	0	0	0	1	auto	depthwise	256	0	1	0.0101174730859864	0.224079489800985	10	2	0.0196768067506764	889	13208000	57
20220530 204029	0	0	0	1	auto	depthwise	256	0	1	0.0103257530077536	0.203892890727129	10	8	0.0129220562519331	551	13599000	58
20220530 205922	0	0	0	1	auto	depthwise	256	0	1	0.0102447778581753	0.478013137301615	5	2	0.0209673187053266	1819	12695000	59
20220530 210206	0	0	0	1	auto	depthwise	256	0	1	0.284594434449924	0.999574865878002	8	5	0.0121737971052733	16	12269000	60
20220530 210338	0	0	0	1	auto	depthwise	256	0	1	0.284202093672777	0.200752593296864	10	2	0.0217451739803861	242	12561000	61
20220530 210433	0	0	0	1	auto	depthwise	256	0	1	0.289735411372703	0.209073255598883	4	2	0.0146316660202364	101	12969000	62
20220530 210524	0	0	0	1	auto	depthwise	256	0	1	0.172652065658389	0.200121538256039	4	2	0.0192132114282625	79	12798000	63
20220530 214828	0	0	0	1	auto	depthwise	256	0	1	0.0100516156073652	0.620783772673859	10	28	0.0123848573179374	331	13678000	64
20220530 215135	0	0	0	1	auto	depthwise	256	0	1	0.297923103337887	0.389778569882662	4	30	0.0129742190806929	7	11064000	65
20220530 215254	0	0	0	1	auto	depthwise	256	0	1	0.296335911089183	0.238474608434866	6	2	0.0139586270702594	165	13038000	66
20220530 222230	0	0	0	1	auto	depthwise	256	0	1	0.0100686186196445	0.435886561304587	10	10	0.0143301711786262	608	13905000	67
20220530 224432	0	0	0	1	auto	depthwise	256	0	1	0.0103110165555119	0.998941554270131	10	3	0.0393135367560038	589	9861000	68
20220530 232739	0	0	0	1	auto	depthwise	256	0	1	0.0101219393288982	0.913037253324441	8	9	0.0130899523987418	389	13851000	69
20220531 004728	0	0	0	1	auto	depthwise	256	0	1	0.0103121833623365	0.998765657850965	6	30	0.0126894262803777	296	13160000	70
20220531 004908	0	0	0	1	auto	depthwise	256	0	1	0.198320174009489	0.439277876394822	5	2	0.0131125336855816	90	12801000	71
20220531 010034	0	0	0	1	auto	depthwise	256	0	1	0.0103901895504201	0.346392286127574	4	4	0.0170132372638032	451	13570000	72
20220531 010746	0	0	0	1	auto	depthwise	256	0	1	0.0116589289113387	0.222205698275419	3	2	0.0188241514919047	852	13067000	73
20220531 013135	0	0	0	1	auto	depthwise	256	0	1	0.0100198903712794	0.279473484736742	10	27	0.0125983736446501	397	13484000	74
20220531 013704	0	0	0	1	auto	depthwise	256	0	1	0.0699585193784584	0.341315317709211	10	5	0.0137902870748444	282	13743000	75
20220531 022213	0	0	0	1	auto	depthwise	256	0	1	0.0103998712265585	0.999377504985981	9	11	0.0129439264467263	275	13596000	76
