fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220530 041154	0	0	0	1	hist	lossguide	256	0	1	0.133252846356481	0.604732167758048	9	573	0.0214415984538694	12	11872000	1
20220530 041231	0	0	0	1	hist	lossguide	256	0	1	0.155989452315494	0.36879598306492	2	473	0.023399623001266	10	8341000	2
20220530 041317	0	0	0	1	hist	lossguide	256	0	1	0.142892998591648	0.707061870228499	6	931	0.0194562593057829	10	10875000	3
20220530 041350	0	0	0	1	hist	lossguide	256	0	1	0.289901248600101	0.537083754260093	3	778	0.0306601694751104	1	9070000	4
20220530 041751	0	0	0	1	hist	lossguide	256	0	1	0.0111808389284415	0.863684513829649	6	454	0.0417504903811884	298	7391000	5
20220530 041831	0	0	0	1	hist	lossguide	256	0	1	0.102519804898766	0.782721409350634	9	282	0.0381997365155257	38	8745000	6
20220530 041900	0	0	0	1	hist	lossguide	256	0	1	0.177161160681164	0.733914896845818	6	384	0.0252544494806595	10	9866000	7
20220530 041920	0	0	0	1	hist	lossguide	256	0	1	0.209155004838016	0.300110705792904	0	554	0.0469363566056321	2	901000	8
20220530 041950	0	0	0	1	hist	lossguide	256	0	1	0.244442011243664	0.942575174225494	3	917	0.00958937016063525	3	10532000	9
20220530 042014	0	0	0	1	hist	lossguide	256	0	1	0.284171109782299	0.505846592998132	8	309	0.0170431169390213	10	11745000	10
20220530 042040	0	0	0	1	hist	lossguide	256	0	1	0.262784907866619	0.404282685974613	4	85	0.0357370090627228	5	7872000	11
20220530 042137	0	0	0	1	hist	lossguide	256	0	1	0.0652077384003205	0.474871549513191	4	654	0.0282050035103263	43	9307000	12
20220530 042209	0	0	0	1	hist	lossguide	256	0	1	0.218699374161428	0.325339839002117	3	736	0.0113455532938436	16	10373000	13
20220530 042303	0	0	0	1	hist	lossguide	256	0	1	0.0924437811441021	0.988420487521216	2	214	0.0398783609411718	26	5454000	14
20220530 042330	0	0	0	1	hist	lossguide	256	0	1	0.125814790197765	0.885120607027784	7	8	0.0141133202346585	54	13339000	15
20220530 042455	0	0	0	1	hist	lossguide	256	0	1	0.030668930561631	0.561043857485056	10	833	0.0439989405514401	118	8142000	16
