Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.249787669970831	0.0188102753565684	0.00820454111810723
foto_mes	0.0713674257786007	0.0326456203594359	0.0172676970043885
ctrx_quarter	0.0411608349925994	0.0167898122977346	0.0129746231635184
mcuenta_corriente	0.0312188633711908	0.00319024459509251	0.00639190994085098
mpasivos_margen	0.027063402276385	0.0113555447479463	0.010684983781721
mtarjeta_visa_consumo	0.0254893693500436	0.0226238658321013	0.0241366151497806
mcaja_ahorro	0.0227671203934696	0.00970507342469861	0.0159320740316733
cpayroll_trx	0.0195038518014643	0.0134981080624416	0.00763213127265789
cproductos_tend6	0.0162642688488235	0.00697240571155286	0.0052470902499523
mprestamos_personales	0.0155358867489504	0.0113142713668087	0.00601030337721809
mprestamos_personales_tend6	0.0148777598132464	0.00796236713533015	0.00467468040450296
mcuentas_saldo	0.0144763015935685	0.0109417606354245	0.013642434649876
mpayroll_sobre_edad	0.013541663745827	0.0114083804689432	0.00610570501812631
mes_lag1	0.0120521458103642	0.0162000984258555	0.0115435985498951
mpayroll	0.0116281010960677	0.0118755870738422	0.00553329517267697
mdescubierto_preacordado	0.00898924620295474	0.00108326631550507	0.00124022133180691
mcuenta_corriente_delta1	0.00806275377143077	0.00968564167602766	0.00868154932264835
mdescubierto_preacordado_tend6	0.00754826348491661	0.00206184280454932	0.00114481969089868
mactivos_margen	0.00648019436147243	0.00904450268939951	0.0143102461362335
mv_Finiciomora_avg6	0.00646852656233362	0.0119502008440525	0.00209883609998092
Master_Fvencimiento	0.00559570909802102	0.00298280069899174	0.00829994275901546
ccomisiones_mantenimiento_tend6	0.00555131124393436	0.00320107690500726	0.00209883609998092
mv_status06_tend6	0.00553401442512201	0.00244530869497342	0.000858614768174013
mes	0.00547064919344723	0.00544710547960465	0.00477008204541118
Visa_Finiciomora	0.00545136675817411	0.0241633023481975	0.00410227055905362
mcuentas_saldo_tend6	0.00542279090349956	0.003341913025957	0.00705972142720855
ctrx_quarter_delta1	0.0053819087507754	0.00724633453367957	0.00982636901354703
mrentabilidad_avg6	0.00514506994359995	0.00415783491844873	0.00639190994085098
mv_status07_tend6	0.00505615844906474	0.00429395174904682	0.00143102461362335
mv_Finiciomora_lag1	0.00485300661868374	0.0213579103079346	0.00419767219996184
mrentabilidad_annual_delta1	0.00463337503861228	0.00857877576885063	0.0113527952680786
mprestamos_personales_lag1	0.00457605086357339	0.00109658975448352	0.00114481969089868
mcuenta_corriente_avg6	0.00454519028695015	0.0064193903664918	0.0111619919862622
ctarjeta_visa_trx	0.00451866504934086	0.00703867712344447	0.00954016409082236
mcuenta_corriente_tend6	0.0042380857312934	0.00432252888897556	0.00772753291356611
mcuentas_saldo_delta1	0.00411958462287351	0.00772706082216578	0.010684983781721
mv_msaldopesos	0.00409424434228517	0.00349529820465898	0.00248044266361381
ctarjeta_visa_trx_tend6	0.00400003297526958	0.00303170093060446	0.00515168860904408
Master_mfinanciacion_limite	0.00398833174502188	0.0100529397581138	0.0113527952680786
mactivos_margen_delta1	0.003858122804724	0.00488349057073483	0.00915855752718947
Visa_mpagospesos_tend6	0.0038306321980123	0.00389940196311952	0.00934936080900592
mcomisiones_mantenimiento_tend6	0.00378747209874881	0.00835593883812735	0.00610570501812631
mprestamos_personales_delta1	0.00369118501191265	0.0107178557415403	0.00352986071360427
Master_fultimo_cierre_tend6	0.00360389065429565	0.00771025639631701	0.00934936080900592
chomebanking_trx_delta1	0.00360351005243635	0.00760813305684964	0.00896775424537302
mrentabilidad_annual_tend6	0.00357983337109989	0.00492186581149012	0.00934936080900592
mv_mpagominimo	0.00354457461161839	0.0108269850135406	0.00820454111810723
mcuentas_saldo_lag1	0.0035427042128854	0.00902776734165302	0.00925395916809769
cliente_edad_avg6	0.00353001786243749	0.00770039549721565	0.00896775424537302
mcomisiones_tend6	0.00351764351108789	0.0088795249491684	0.0103033772180882
mcomisiones_lag1	0.00350836998962558	0.00319581283962168	0.00782293455447434
mtarjeta_visa_debitos_automaticos_tend6	0.00350153249521652	0.00836162404444335	0.00648731158175921
